ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   22
   364  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   365  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   365  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   366  IFO197      *** MNOTE ***
   366  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   368  IFO078      UNDEFINED OP CODE
   369  IFO078      UNDEFINED OP CODE
   370  IFO078      UNDEFINED OP CODE
   371  IFO078      UNDEFINED OP CODE
   372  IFO078      UNDEFINED OP CODE
   373  IFO078      UNDEFINED OP CODE
   374  IFO078      UNDEFINED OP CODE
   375  IFO078      UNDEFINED OP CODE
   376  IFO078      UNDEFINED OP CODE
   382  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   383  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   384  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   385  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   386  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   386  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   387  IFO197      *** MNOTE ***
   387  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   389  IFO078      UNDEFINED OP CODE
   390  IFO078      UNDEFINED OP CODE
   391  IFO078      UNDEFINED OP CODE
   392  IFO078      UNDEFINED OP CODE
   393  IFO078      UNDEFINED OP CODE
   394  IFO078      UNDEFINED OP CODE
   395  IFO078      UNDEFINED OP CODE
   396  IFO078      UNDEFINED OP CODE
   397  IFO078      UNDEFINED OP CODE
   403  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   404  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   405  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   25
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  406  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   407  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   407  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   408  IFO197      *** MNOTE ***
   408  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   410  IFO078      UNDEFINED OP CODE
   411  IFO078      UNDEFINED OP CODE
   412  IFO078      UNDEFINED OP CODE
   413  IFO078      UNDEFINED OP CODE
   414  IFO078      UNDEFINED OP CODE
   415  IFO078      UNDEFINED OP CODE
   416  IFO078      UNDEFINED OP CODE
   417  IFO078      UNDEFINED OP CODE
   418  IFO078      UNDEFINED OP CODE
   424  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   425  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   426  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   427  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   428  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   428  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   429  IFO197      *** MNOTE ***
   429  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   431  IFO078      UNDEFINED OP CODE
   432  IFO078      UNDEFINED OP CODE
   433  IFO078      UNDEFINED OP CODE
   434  IFO078      UNDEFINED OP CODE
   435  IFO078      UNDEFINED OP CODE
   436  IFO078      UNDEFINED OP CODE
   437  IFO078      UNDEFINED OP CODE
   438  IFO078      UNDEFINED OP CODE
   439  IFO078      UNDEFINED OP CODE
   445  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   446  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   447  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   448  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   449  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   449  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   450  IFO197      *** MNOTE ***
   450  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   452  IFO078      UNDEFINED OP CODE
   458  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   459  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   460  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   461  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   462  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   462  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   463  IFO197      *** MNOTE ***
   463  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   465  IFO078      UNDEFINED OP CODE
   466  IFO078      UNDEFINED OP CODE
   467  IFO078      UNDEFINED OP CODE
   468  IFO078      UNDEFINED OP CODE
   469  IFO078      UNDEFINED OP CODE
   470  IFO078      UNDEFINED OP CODE
   471  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   26
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  472  IFO078      UNDEFINED OP CODE
   473  IFO078      UNDEFINED OP CODE
   479  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   480  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   481  IFO197      *** MNOTE ***
   483  IFO078      UNDEFINED OP CODE
   484  IFO078      UNDEFINED OP CODE
   485  IFO078      UNDEFINED OP CODE
   491  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   492  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   493  IFO197      *** MNOTE ***
   495  IFO078      UNDEFINED OP CODE
   496  IFO078      UNDEFINED OP CODE
   497  IFO078      UNDEFINED OP CODE
   503  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   504  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   505  IFO197      *** MNOTE ***
   507  IFO078      UNDEFINED OP CODE
   508  IFO078      UNDEFINED OP CODE
   509  IFO078      UNDEFINED OP CODE
   515  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   516  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   517  IFO197      *** MNOTE ***
   519  IFO078      UNDEFINED OP CODE
   520  IFO078      UNDEFINED OP CODE
   521  IFO078      UNDEFINED OP CODE
   527  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   528  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   529  IFO197      *** MNOTE ***
   531  IFO078      UNDEFINED OP CODE
   532  IFO078      UNDEFINED OP CODE
   533  IFO078      UNDEFINED OP CODE
   539  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   540  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   541  IFO197      *** MNOTE ***
   543  IFO078      UNDEFINED OP CODE
   544  IFO078      UNDEFINED OP CODE
   545  IFO078      UNDEFINED OP CODE
   551  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   552  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   553  IFO197      *** MNOTE ***
   555  IFO078      UNDEFINED OP CODE
   556  IFO078      UNDEFINED OP CODE
   557  IFO078      UNDEFINED OP CODE
   563  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   564  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   565  IFO197      *** MNOTE ***
   567  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   27
-                                                                                                 ASM 0201 06.35 09/07/26
0NUMBER OF STATEMENTS FLAGGED IN THIS ASSEMBLY =   244
 HIGHEST SEVERITY WAS   12
 OPTIONS FOR THIS ASSEMBLY
   ALIGN, ALOGIC, BUFSIZE(STD), NODECK, ESD, FLAG(0), LINECOUNT(55), LIST, NOMCALL, YFLAG, WORKSIZE(2097152)
   NOMLOGIC, NONUMBER, NOOBJECT, NORENT, RLD, NOSTMT, NOLIBMAC, NOTERMINAL, NOTEST, XREF(SHORT)
   SYSPARM()
 WORK FILE BUFFER SIZE/NUMBER =19066/ 1
 TOTAL RECORDS READ FROM SYSTEM INPUT        406
 TOTAL RECORDS READ FROM SYSTEM LIBRARY      881
 TOTAL RECORDS PUNCHED                         0
 TOTAL RECORDS PRINTED                      1220
