ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   14
   250  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   251  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   251  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   252  IFO197      *** MNOTE ***
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   17
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  252  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   253  IFO078      UNDEFINED OP CODE
   259  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   260  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   261  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   262  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   263  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   263  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   264  IFO197      *** MNOTE ***
   264  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   265  IFO078      UNDEFINED OP CODE
   266  IFO078      UNDEFINED OP CODE
   267  IFO078      UNDEFINED OP CODE
   268  IFO078      UNDEFINED OP CODE
   269  IFO078      UNDEFINED OP CODE
   270  IFO078      UNDEFINED OP CODE
   271  IFO078      UNDEFINED OP CODE
   272  IFO078      UNDEFINED OP CODE
   278  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   279  IFO197      *** MNOTE ***
   280  IFO078      UNDEFINED OP CODE
   286  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   287  IFO197      *** MNOTE ***
   293  IFO078      UNDEFINED OP CODE
0NUMBER OF STATEMENTS FLAGGED IN THIS ASSEMBLY =   165
 HIGHEST SEVERITY WAS   12
 OPTIONS FOR THIS ASSEMBLY
   ALIGN, ALOGIC, BUFSIZE(STD), NODECK, ESD, FLAG(0), LINECOUNT(55), LIST, NOMCALL, YFLAG, WORKSIZE(2097152)
   NOMLOGIC, NONUMBER, NOOBJECT, NORENT, RLD, NOSTMT, NOLIBMAC, NOTERMINAL, NOTEST, XREF(SHORT)
   SYSPARM()
 WORK FILE BUFFER SIZE/NUMBER =19066/ 1
 TOTAL RECORDS READ FROM SYSTEM INPUT        198
 TOTAL RECORDS READ FROM SYSTEM LIBRARY      881
 TOTAL RECORDS PUNCHED                         0
 TOTAL RECORDS PRINTED                       787
