ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   15
   154  IFO188      L3 IS AN UNDEFINED SYMBOL
   154  IFO188      R3 IS AN UNDEFINED SYMBOL
   154  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 10
   154  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 10
   154  IFO188      L5 IS AN UNDEFINED SYMBOL
   155  IFO188      L18 IS AN UNDEFINED SYMBOL
   155  IFO188      L2 IS AN UNDEFINED SYMBOL
   155  IFO188      R3 IS AN UNDEFINED SYMBOL
   155  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 10
   155  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 10
   155  IFO188      L3 IS AN UNDEFINED SYMBOL
   156  IFO188      R14 IS AN UNDEFINED SYMBOL
   158  IFO078      UNDEFINED OP CODE
   159  IFO078      UNDEFINED OP CODE
   160  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   18
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  163  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   166  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   167  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   168  IFO197      *** MNOTE ***
   170  IFO078      UNDEFINED OP CODE
   171  IFO078      UNDEFINED OP CODE
   174  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   177  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   178  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   179  IFO197      *** MNOTE ***
   181  IFO078      UNDEFINED OP CODE
   182  IFO078      UNDEFINED OP CODE
   185  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   188  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   189  IFO197      *** MNOTE ***
   191  IFO078      UNDEFINED OP CODE
   192  IFO078      UNDEFINED OP CODE
   195  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   198  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   199  IFO197      *** MNOTE ***
   201  IFO078      UNDEFINED OP CODE
   202  IFO078      UNDEFINED OP CODE
   205  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   208  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   209  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   210  IFO197      *** MNOTE ***
   212  IFO078      UNDEFINED OP CODE
   215  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   218  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   219  IFO197      *** MNOTE ***
   221  IFO078      UNDEFINED OP CODE
   224  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   227  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   228  IFO197      *** MNOTE ***
   230  IFO078      UNDEFINED OP CODE
   231  IFO078      UNDEFINED OP CODE
   234  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   237  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   238  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   239  IFO197      *** MNOTE ***
   241  IFO078      UNDEFINED OP CODE
   242  IFO078      UNDEFINED OP CODE
   245  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   248  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   249  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   250  IFO197      *** MNOTE ***
   252  IFO078      UNDEFINED OP CODE
   253  IFO078      UNDEFINED OP CODE
