ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   21
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  108  IFO188      R6 IS AN UNDEFINED SYMBOL
   108  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   109  IFO188      L0 IS AN UNDEFINED SYMBOL
   109  IFO188      R4 IS AN UNDEFINED SYMBOL
   109  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 6
   110  IFO188      R14 IS AN UNDEFINED SYMBOL
   111  IFO188      R5 IS AN UNDEFINED SYMBOL
   111  IFO188      SKIPLN03 IS AN UNDEFINED SYMBOL
   112  IFO188      R6 IS AN UNDEFINED SYMBOL
   112  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   113  IFO188      R5 IS AN UNDEFINED SYMBOL
   113  IFO188      R6 IS AN UNDEFINED SYMBOL
   113  IFO188      XR9PTR IS AN UNDEFINED SYMBOL
   114  IFO188      R5 IS AN UNDEFINED SYMBOL
   114  IFO188      R6 IS AN UNDEFINED SYMBOL
   114  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   115  IFO188      R14 IS AN UNDEFINED SYMBOL
   117  IFO188      R6 IS AN UNDEFINED SYMBOL
   117  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   118  IFO188      R6 IS AN UNDEFINED SYMBOL
   118  IFO188      R6 IS AN UNDEFINED SYMBOL
   119  IFO188      R6 IS AN UNDEFINED SYMBOL
   119  IFO188      L0 IS AN UNDEFINED SYMBOL
   119  IFO188      R4 IS AN UNDEFINED SYMBOL
   119  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
   120  IFO188      R6 IS AN UNDEFINED SYMBOL
   121  IFO188      R6 IS AN UNDEFINED SYMBOL
   122  IFO188      R6 IS AN UNDEFINED SYMBOL
   122  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   123  IFO188      L0 IS AN UNDEFINED SYMBOL
   123  IFO188      L2 IS AN UNDEFINED SYMBOL
   123  IFO188      R3 IS AN UNDEFINED SYMBOL
   123  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
