ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   17
   160  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   160  IFO188      L3 IS AN UNDEFINED SYMBOL
   161  IFO188      L8 IS AN UNDEFINED SYMBOL
   161  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
   161  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   161  IFO188      L4 IS AN UNDEFINED SYMBOL
   161  IFO188      L4 IS AN UNDEFINED SYMBOL
   161  IFO188      R4 IS AN UNDEFINED SYMBOL
   161  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 18
   161  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 18
   162  IFO188      L7 IS AN UNDEFINED SYMBOL
   162  IFO188      L1 IS AN UNDEFINED SYMBOL
   162  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 11
   162  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   163  IFO188      L13 IS AN UNDEFINED SYMBOL
   163  IFO188      L3 IS AN UNDEFINED SYMBOL
   163  IFO188      R3 IS AN UNDEFINED SYMBOL
   163  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 10
   163  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 10
   163  IFO188      L5 IS AN UNDEFINED SYMBOL
   164  IFO188      L18 IS AN UNDEFINED SYMBOL
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   20
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.36 09/07/26
0  164  IFO188      L2 IS AN UNDEFINED SYMBOL
   164  IFO188      R3 IS AN UNDEFINED SYMBOL
   164  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 10
   164  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 10
   164  IFO188      L3 IS AN UNDEFINED SYMBOL
   165  IFO188      R14 IS AN UNDEFINED SYMBOL
   167  IFO078      UNDEFINED OP CODE
   168  IFO078      UNDEFINED OP CODE
   169  IFO078      UNDEFINED OP CODE
   172  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   175  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   176  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   177  IFO197      *** MNOTE ***
   179  IFO078      UNDEFINED OP CODE
   180  IFO078      UNDEFINED OP CODE
   183  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   186  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   187  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   188  IFO197      *** MNOTE ***
   190  IFO078      UNDEFINED OP CODE
   191  IFO078      UNDEFINED OP CODE
   194  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   197  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   198  IFO197      *** MNOTE ***
   200  IFO078      UNDEFINED OP CODE
   201  IFO078      UNDEFINED OP CODE
   204  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   207  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   208  IFO197      *** MNOTE ***
   210  IFO078      UNDEFINED OP CODE
   211  IFO078      UNDEFINED OP CODE
   214  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   217  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   218  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   219  IFO197      *** MNOTE ***
   221  IFO078      UNDEFINED OP CODE
   224  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   227  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   228  IFO197      *** MNOTE ***
   230  IFO078      UNDEFINED OP CODE
   231  IFO078      UNDEFINED OP CODE
   234  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   237  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   238  IFO197      *** MNOTE ***
   240  IFO078      UNDEFINED OP CODE
   241  IFO078      UNDEFINED OP CODE
   244  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   247  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   248  IFO197      *** MNOTE ***
   250  IFO078      UNDEFINED OP CODE
   251  IFO078      UNDEFINED OP CODE
   254  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   257  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   258  IFO197      *** MNOTE ***
   260  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   21
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.36 09/07/26
0  261  IFO078      UNDEFINED OP CODE
   264  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   267  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   268  IFO197      *** MNOTE ***
   270  IFO078      UNDEFINED OP CODE
   271  IFO078      UNDEFINED OP CODE
   274  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   277  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   278  IFO197      *** MNOTE ***
   280  IFO078      UNDEFINED OP CODE
   283  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   286  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   287  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   288  IFO197      *** MNOTE ***
   290  IFO078      UNDEFINED OP CODE
   291  IFO078      UNDEFINED OP CODE
   294  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   297  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   298  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   299  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   300  IFO197      *** MNOTE ***
   302  IFO078      UNDEFINED OP CODE
   303  IFO078      UNDEFINED OP CODE
   306  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   309  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   310  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   311  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   312  IFO197      *** MNOTE ***
   314  IFO078      UNDEFINED OP CODE
   315  IFO078      UNDEFINED OP CODE
   318  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   321  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   322  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   323  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   324  IFO197      *** MNOTE ***
   326  IFO078      UNDEFINED OP CODE
   327  IFO078      UNDEFINED OP CODE
