ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   28
   420  IFO078      UNDEFINED OP CODE
   426  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   427  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   428  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   429  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   430  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   430  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   431  IFO197      *** MNOTE ***
   431  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   432  IFO078      UNDEFINED OP CODE
   433  IFO078      UNDEFINED OP CODE
   439  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   440  IFO197      *** MNOTE ***
   441  IFO078      UNDEFINED OP CODE
   442  IFO078      UNDEFINED OP CODE
   443  IFO078      UNDEFINED OP CODE
   449  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   450  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   451  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   452  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   453  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   453  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   454  IFO197      *** MNOTE ***
   454  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   455  IFO078      UNDEFINED OP CODE
   456  IFO078      UNDEFINED OP CODE
   457  IFO078      UNDEFINED OP CODE
   463  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   464  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   31
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  465  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   466  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   467  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   467  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   468  IFO197      *** MNOTE ***
   468  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   469  IFO078      UNDEFINED OP CODE
   470  IFO078      UNDEFINED OP CODE
   471  IFO078      UNDEFINED OP CODE
   477  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   478  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   479  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   480  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   481  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   481  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   482  IFO197      *** MNOTE ***
   482  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   483  IFO078      UNDEFINED OP CODE
   484  IFO078      UNDEFINED OP CODE
   485  IFO078      UNDEFINED OP CODE
   491  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   492  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   493  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   494  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   495  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   495  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   496  IFO197      *** MNOTE ***
   496  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   497  IFO078      UNDEFINED OP CODE
   498  IFO078      UNDEFINED OP CODE
   499  IFO078      UNDEFINED OP CODE
   505  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   506  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   507  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   508  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   509  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   509  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   510  IFO197      *** MNOTE ***
   510  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   511  IFO078      UNDEFINED OP CODE
   512  IFO078      UNDEFINED OP CODE
   513  IFO078      UNDEFINED OP CODE
   519  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   520  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   521  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
