ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   20
   175  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   176  IFO197      *** MNOTE ***
   178  IFO078      UNDEFINED OP CODE
   179  IFO078      UNDEFINED OP CODE
   180  IFO078      UNDEFINED OP CODE
   181  IFO078      UNDEFINED OP CODE
   184  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   187  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   188  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   189  IFO197      *** MNOTE ***
   191  IFO078      UNDEFINED OP CODE
   192  IFO078      UNDEFINED OP CODE
   195  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   198  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   199  IFO197      *** MNOTE ***
   201  IFO078      UNDEFINED OP CODE
   202  IFO078      UNDEFINED OP CODE
   205  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   208  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   209  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   210  IFO197      *** MNOTE ***
   212  IFO078      UNDEFINED OP CODE
   215  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   218  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   219  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   220  IFO197      *** MNOTE ***
   222  IFO078      UNDEFINED OP CODE
   223  IFO078      UNDEFINED OP CODE
   224  IFO078      UNDEFINED OP CODE
   225  IFO078      UNDEFINED OP CODE
   226  IFO078      UNDEFINED OP CODE
   227  IFO078      UNDEFINED OP CODE
   228  IFO078      UNDEFINED OP CODE
   229  IFO078      UNDEFINED OP CODE
