module	dlib	state	tk5_rmid	ce_rmid	bytes_tk5	bytes_ce	bytes_equal	v_tk5	v_ce	sect_tk5	sect_ce	diff_tk5	diff_ce	len_tk5	len_ce
IDA0192V	AOSA0	rmid-differs	UZ60241	UZ35166	7241	7097	N	differs	differs	1	1	0	0	Y	Y
IDA0192W	AOSA0	same	EDM1102	EDM1102	2821	2821	Y	differs	differs	1	1	8	8	N	N
IDA0192Y	AOSA0	rmid-differs	UZ74897	UZ56628	14085	14733	N	differs	differs	1	1	0	0	Y	Y
IDA0192Z	AOSA0	rmid-differs	UY04882	UZ56097	8641	8641	N	differs	differs	1	1	0	0	Y	Y
IDA0195A	AOSA0	same	EDM1102	EDM1102	6773	6773	Y	identical	identical	1	1	0	0	N	N
IDA019R1	AOSA0	rmid-differs	UZ38699	UZ30330	5861	5258	N	differs	differs	1	1	0	0	Y	Y
IDA019R2	AOSA0	rmid-differs	UZ38213	UZ30328	3717	3582	N	differs	differs	1	1	0	0	Y	Y
IDA019R4	AOSA0	rmid-differs	UZ71742	UZ56837	6617	6545	N	differs	differs	1	1	0	0	Y	Y
IDA019R5	AOSA0	rmid-differs	UZ61860	UZ56255	3489	3409	N	differs	differs	1	1	0	0	Y	Y
IDA019R8	AOSA0	rmid-differs	UZ79124	UZ37832	3245	3253	N	differs	differs	1	1	0	0	Y	Y
IDA019RA	AOSA0	rmid-differs	UZ73847	UZ24156	4077	3934	N	differs	differs	1	1	0	0	Y	Y
IDA019RB	AOSA0	same	EDM1102	EDM1102	1001	1001	Y	identical	identical	1	1	0	0	N	N
IDA019RC	AOSA0	same	EDM1102	EDM1102	801	801	Y	identical	identical	1	1	0	0	N	N
IDA019RD	AOSA0	same	UZ22408	UZ22408	854	854	Y	differs	differs	1	1	0	0	Y	Y
IDA019RE	AOSA0	rmid-differs	UZ65704	UZ37771	5245	5141	N	differs	differs	1	1	0	0	Y	Y
IDA019RF	AOSA0	rmid-differs	UZ74831	UZ54276	4773	4725	N	differs	differs	1	1	0	0	Y	Y
IDA019RG	AOSA0	rmid-differs	UZ78287	EDM1102	4233	4165	N	differs	identical	1	1	0	0	Y	N
IDA019RH	AOSA0	same	UZ36732	UZ36732	4077	4077	Y	differs	differs	1	1	18	18	N	N
IDA019RI	AOSA0	rmid-differs	UZ78287	UZ24465	4313	4194	N	differs	differs	1	1	0	7	Y	N
IDA019RJ	AOSA0	rmid-differs	UZ78287	UZ36732	4741	4605	N	differs	differs	1	1	0	0	Y	Y
IDA019RK	AOSA0	rmid-differs	UZ69605	UZ36730	2277	2221	N	differs	differs	1	1	0	0	Y	Y
IDA019RL	AOSA0	rmid-differs	UZ59560	UZ37845	2685	2653	N	differs	differs	1	1	0	0	Y	Y
IDA019RM	AOSA0	rmid-differs	UZ70957	UZ27997	2889	2842	N	differs	differs	1	1	0	0	Y	Y
IDA019RN	AOSA0	rmid-differs	UZ57928	UZ31385	1909	1878	N	differs	differs	1	1	0	0	Y	Y
IDA019RO	AOSA0	rmid-differs	UZ57355	UZ22906	1501	1534	N	differs	differs	1	1	0	0	Y	Y
IDA019RP	AOSA0	rmid-differs	UY10582	UZ52080	3017	2769	N	differs	differs	1	1	0	0	Y	Y
IDA019RQ	AOSA0	rmid-differs	UZ47564	UZ35343	4710	4694	N	differs	differs	1	1	0	0	Y	Y
IDA019RR	AOSA0	rmid-differs	UZ40855	UZ36594	4206	4134	N	differs	differs	1	1	0	0	Y	Y
IDA019RS	AOSA0	rmid-differs	UZ65257	UZ36370	4678	4654	N	differs	differs	1	1	0	1757	Y	N
IDA019RT	AOSA0	same	EDM1102	EDM1102	3861	3861	Y	identical	identical	1	1	0	0	N	N
IDA019RU	AOSA0	rmid-differs	UZ68578	UZ56837	6181	6086	N	differs	differs	1	1	0	0	Y	Y
IDA019RV	AOSA0	same	EDM1102	EDM1102	2705	2705	Y	identical	identical	1	1	0	0	N	N
IDA019RW	AOSA0	same	UZ26877	UZ26877	3734	3734	Y	differs	differs	1	1	0	0	Y	Y
IDA019RX	AOSA0	rmid-differs	UZ41209	UZ56967	6222	6222	N	differs	differs	1	1	0	0	Y	Y
IDA019RY	AOSA0	rmid-differs	UZ47349	UZ36730	6730	6370	N	differs	differs	1	1	0	0	Y	Y
IDA019RZ	AOSA0	rmid-differs	UZ45189	UZ28450	1726	1678	N	differs	differs	1	1	0	14	Y	N
IDA019S1	AOSA0	rmid-differs	UZ74841	EDM1102	1510	1385	N	differs	identical	1	1	0	0	Y	N
IDA019S2	AOSA0	rmid-differs	UZ74841	UZ57027	3101	3053	N	differs	differs	1	1	0	0	Y	Y
IDA019S4	AOSC5	rmid-differs	UZ74841	EDM1102	621	577	N	differs	differs	1	1	5	0	N	Y
IDA019S6	AOSA0	rmid-differs	UZ60863	UZ27917	1781	1782	N	differs	differs	1	1	0	0	Y	Y
IDA019SA	AOSA0	same	UZ56253	UZ56253	3118	3118	Y	differs	differs	1	1	0	0	Y	Y
IDA019SB	AOSC5	same	UZ36218	UZ36218	3310	3310	Y	identical	identical	1	1	0	0	N	N
IDA019SE	AOSA0	rmid-differs	UZ57928	UZ36730	3862	3741	N	differs	differs	1	1	0	0	Y	Y
IDA019SF	AOSA0	rmid-differs	UZ65704	EDM1102	2686	2625	N	differs	identical	1	1	0	0	Y	N
IDA019SG	AOSA0	same	UZ90008	UZ90008	1502	1502	Y	identical	identical	1	1	0	0	N	N
IDA019SH	AOSA0	same	UZ90008	UZ90008	2726	2726	Y	identical	identical	1	1	0	0	N	N
IDA019SL	AOSA0	same	UZ37737	UZ37737	1177	1177	Y	identical	identical	1	1	0	0	N	N
IDA019SM	AOSA0	same	UZ90008	UZ90008	790	790	Y	identical	identical	1	1	0	0	N	N
IDA019SN	AOSA0	same	EDM1102	EDM1102	1545	1545	Y	identical	identical	1	1	0	0	N	N
IDA019SU	AOSA0	rmid-differs	UZ79831	UZ33012	4557	4533	N	differs	differs	2	2	0	0	Y	Y
IDA0200B	AOSA0	rmid-differs	UZ81213	UZ52782	6826	6382	N	differs	differs	1	1	0	0	Y	Y
IDA0200S	AOSA0	rmid-differs	UZ77738	UZ34965	2069	2069	N	differs	differs	1	1	0	0	Y	Y
IDA0200T	AOSA0	rmid-differs	UZ40024	UZ35972	9353	9297	N	differs	differs	1	1	0	0	Y	Y
IDA0231B	AOSA0	same	UZ31152	UZ31152	3254	3254	Y	differs	differs	1	1	0	0	Y	Y
IDA0231T	AOSA0	rmid-differs	UZ39009	UZ30832	3301	3254	N	differs	differs	1	1	0	0	Y	Y
IDA0557A	AOSA0	rmid-differs	UZ73436	UZ54639	14309	14317	N	differs	differs	1	1	0	0	Y	Y
IDA0A05B	AOSA0	rmid-differs	UZ40565	UZ56664	9313	9249	N	differs	differs	1	1	0	0	Y	Y
IDA0C05B	AOSA0	same	EDM1102	EDM1102	1149	1149	Y	differs	differs	1	1	0	0	Y	Y
IDA0C06C	AOSA0	rmid-differs	UZ70803	UZ56664	5909	5925	N	differs	differs	1	1	0	0	Y	Y
IDA0I96C	AOSA0	same	UZ37354	UZ37354	1069	1069	Y	differs	differs	1	1	0	0	Y	Y
IDA121A3	AOSC5	rmid-differs	UZ74841	UZ36360	2742	2646	N	differs	differs	1	1	17	0	N	Y
IDA121A5	AOSC5	same	UZ56343	UZ56343	613	613	Y	differs	differs	1	1	0	0	Y	Y
IDA121A6	AOSC5	same	UZ30327	UZ30327	678	678	Y	differs	differs	1	1	4	4	N	N
