module	dlib	state	tk5_rmid	ce_rmid	bytes_tk5	bytes_ce	bytes_equal	v_tk5	v_ce	sect_tk5	sect_ce	diff_tk5	diff_ce	len_tk5	len_ce
IEFAB4FA	AOSB3	same	UZ58819	UZ58819	4937	4937	Y	differs	differs	1	1	0	0	Y	Y
IEFAB4FC	AOSB3	same	UZ27238	UZ27238	3478	3478	Y	differs	differs	1	1	0	0	Y	Y
IEFAB4FD	AOSB3	same	EBB1102	EBB1102	901	901	Y	differs	differs	1	1	6	6	N	N
IEFAB4FE	AOSB3	same	EBB1102	EBB1102	1769	1769	Y	identical	identical	1	1	0	0	N	N
IEFAB4FF	AOSB3	same	EBB1102	EBB1102	933	933	Y	differs	differs	1	1	4	4	N	N
IEFAB4M4	AOSB3	same	EBB1102	EBB1102	1101	1101	Y	differs	differs	1	1	109	109	N	N
IEFAB4M5	AOSB3	same	EBB1102	EBB1102	1369	1369	Y	differs	differs	1	1	0	0	Y	Y
IEFAB4M6	AOSB3	same	EBB1102	EBB1102	729	729	Y	identical	identical	1	1	0	0	N	N
IEFAB4M7	AOSB3	same	EBB1102	EBB1102	661	661	Y	identical	identical	1	1	0	0	N	N
IEFAB4M9	AOSB3	same	EBB1102	EBB1102	1349	1349	Y	differs	differs	1	1	4	4	N	N
IEFAB4SF	AOSB3	same	UZ31056	UZ31056	4094	4094	Y	identical	identical	1	1	0	0	N	N
IEFAB4UV	AOSB3	same	FBB1221	FBB1221	2673	2673	Y	differs	differs	1	1	0	0	Y	Y
IEFAB820	AOSB3	same	EBB1102	EBB1102	785	785	Y	differs	differs	1	1	4	4	N	N
IEFACT	AOSB3	same	EBB1102	EBB1102	365	365	Y	differs	differs	1	1	0	0	Y	Y
IEFACTRT	AOSB3	same	EBB1102	EBB1102	357	357	Y	differs	differs	1	1	0	0	Y	Y
IEFAQTOP	AOSB3	same	FBB1221	FBB1221	933	933	Y	identical	identical	1	1	0	0	N	N
IEFATECB	AOSB3	same	EBB1102	EBB1102	389	389	Y	identical	identical	1	1	0	0	N	N
IEFBB401	AOSB3	same	EBB1102	EBB1102	4217	4217	Y	identical	identical	1	1	0	0	N	N
IEFBB402	AOSB3	same	UZ72478	UZ72478	1817	1817	Y	differs	differs	1	1	0	0	Y	Y
IEFBB404	AOSB3	same	EBB1102	EBB1102	2297	2297	Y	identical	identical	1	1	0	0	N	N
IEFBB410	AOSB3	same	UZ37446	UZ37446	7242	7242	Y	differs	differs	1	1	0	0	Y	Y
IEFBB412	AOSB3	same	EBB1102	EBB1102	893	893	Y	differs	differs	1	1	6	6	N	N
IEFBB414	AOSB3	same	EBB1102	EBB1102	1749	1749	Y	identical	identical	1	1	0	0	N	N
IEFBB416	AOSB3	same	UZ63499	UZ63499	5649	5649	Y	differs	differs	1	1	0	0	Y	Y
IEFBB4M1	AOSB3	same	EBB1102	EBB1102	605	605	Y	differs	differs	1	1	2	2	N	N
IEFBB4M2	AOSB3	same	EBB1102	EBB1102	2465	2465	Y	identical	identical	1	1	0	0	N	N
IEFBB4M3	AOSB3	same	UZ59776	UZ59776	8737	8737	Y	differs	differs	1	1	0	0	Y	Y
IEFBB4M4	AOSB3	same	EBB1102	EBB1102	1357	1357	Y	differs	differs	1	1	0	0	Y	Y
IEFBB4M5	AOSB3	same	EBB1102	EBB1102	725	725	Y	differs	differs	1	1	0	0	Y	Y
IEFBR14	AOSB3	same	EBB1102	EBB1102	341	341	Y	identical	identical	1	1	0	0	N	N
IEFDB400	AOSB3	same	UZ61932	UZ61932	4257	4257	Y	differs	differs	1	1	0	0	Y	Y
IEFDB401	AOSB3	same	EBB1102	EBB1102	365	365	Y	differs	differs	1	1	7	7	N	N
IEFDB402	AOSB3	same	EBB1102	EBB1102	881	881	Y	differs	differs	1	1	0	0	Y	Y
IEFDB403	AOSB3	same	EBB1102	EBB1102	565	565	Y	differs	differs	1	1	2	2	N	N
IEFDB410	AOSB3	same	UZ65874	UZ65874	5837	5837	Y	differs	differs	1	1	0	0	Y	Y
IEFDB411	AOSB3	same	UZ57383	UZ57383	4070	4070	Y	differs	differs	1	1	0	0	Y	Y
IEFDB412	AOSB3	same	UZ53846	UZ53846	6510	6510	Y	differs	differs	1	1	0	0	Y	Y
IEFDB413	AOSB3	same	UZ63293	UZ63293	6517	6517	Y	differs	differs	1	1	0	0	Y	Y
IEFDB414	AOSB3	same	UZ57077	UZ57077	6282	6282	Y	differs	differs	1	1	0	0	Y	Y
IEFDB417	AOSB3	same	EBB1102	EBB1102	1957	1957	Y	differs	differs	1	1	4	4	N	N
IEFDB418	AOSB3	same	UZ63301	UZ63301	2273	2273	Y	differs	differs	1	1	0	0	Y	Y
IEFDB450	AOSB3	same	EBB1102	EBB1102	2757	2757	Y	differs	differs	1	1	5	5	N	N
IEFDB460	AOSB3	same	EBB1102	EBB1102	1541	1541	Y	differs	differs	1	1	2	2	N	N
IEFDB470	AOSB3	same	UZ22035	UZ22035	2470	2470	Y	differs	differs	1	1	0	0	Y	Y
IEFDB480	AOSB3	same	EBB1102	EBB1102	1613	1613	Y	differs	differs	1	1	1	1	N	N
IEFDB481	AOSB3	same	EBB1102	EBB1102	1189	1189	Y	differs	differs	1	1	4	4	N	N
IEFDB490	AOSB3	same	EBB1102	EBB1102	1381	1381	Y	differs	differs	1	1	1	1	N	N
IEFDB4A0	AOSB3	same	UZ53724	UZ53724	4502	4502	Y	differs	differs	1	1	16	16	N	N
IEFDB4D0	AOST4	same	UZ53312	UZ53312	9586	9586	Y	differs	differs	1	1	0	0	Y	Y
IEFDB4F8	AOSB3	same	UZ37503	UZ37503	2454	2454	Y	differs	differs	1	1	0	0	Y	Y
IEFDB4F9	AOSB3	same	UZ37503	UZ37503	4426	4426	Y	differs	differs	1	1	0	0	Y	Y
IEFDB4FA	AOSB3	same	EBB1102	EBB1102	709	709	Y	differs	differs	1	1	2	2	N	N
IEFDB4FB	AOSB3	same	EBB1102	EBB1102	669	669	Y	identical	identical	1	1	0	0	N	N
IEFDB4FC	AOSB3	same	EBB1102	EBB1102	525	525	Y	differs	differs	1	1	2	2	N	N
IEFDB4FD	AOSB3	same	EBB1102	EBB1102	909	909	Y	differs	differs	1	1	3	3	N	N
IEFDB4FE	AOSB3	same	EBB1102	EBB1102	1033	1033	Y	differs	differs	1	1	0	0	Y	Y
IEFDB4FF	AOSB3	same	EBB1102	EBB1102	1365	1365	Y	differs	differs	1	1	4	4	N	N
IEFDPOST	AOSB3	same	EBB1102	EBB1102	557	557	Y	differs	differs	1	1	6	6	N	N
IEFDSLST	AOSB3	same	EBB1102	EBB1102	717	717	Y	differs	differs	1	1	14	14	N	N
IEFDSTBL	AOSB3	same	EBB1102	EBB1102	1165	1165	Y	differs	differs	1	1	38	38	N	N
IEFEB400	AOSB3	rmid-differs	UZ60947	FBB1221	2001	1989	N	differs	differs	1	1	7	120	N	N
IEFEB4M1	AOSB3	same	FBB1221	FBB1221	625	625	Y	identical	identical	1	1	0	0	N	N
IEFI922B	AOSB3	same	EBB1102	EBB1102	477	477	Y	differs	differs	1	1	4	4	N	N
IEFIB600	AOSB3	same	FBB1221	FBB1221	2705	2705	Y	differs	differs	1	1	0	0	Y	Y
IEFIB605	AOSB3	same	EBB1102	EBB1102	885	885	Y	differs	differs	1	1	21	21	N	N
IEFIB620	AOSB3	same	EBB1102	EBB1102	1245	1245	Y	differs	differs	1	1	0	0	Y	Y
IEFIB621	AOSB3	same	UZ61982	UZ61982	1037	1037	Y	differs	differs	1	1	0	0	Y	Y
IEFIB650	AOSB3	same	UZ72648	UZ72648	1742	1742	Y	differs	differs	1	1	32	32	N	N
IEFIB660	AOSB3	same	UZ37503	UZ37503	1070	1070	Y	differs	differs	1	1	0	0	Y	Y
IEFICATL	AOSB3	same	EBB1102	EBB1102	685	685	Y	differs	differs	1	1	5	5	N	N
IEFICPUA	AOSB3	same	EBB1102	EBB1102	569	569	Y	differs	differs	1	1	6	6	N	N
IEFIMASK	AOSB3	same	EBB1102	EBB1102	589	589	Y	differs	differs	1	1	2	2	N	N
IEFIRECM	AOSB3	same	EBB1102	EBB1102	1273	1273	Y	differs	differs	1	1	5	5	N	N
IEFJACTL	AOSB3	same	EBB1102	EBB1102	757	757	Y	differs	differs	1	1	11	11	N	N
IEFJCDLT	AOSB3	same	EBB1102	EBB1102	557	557	Y	differs	differs	1	1	6	6	N	N
IEFJCNTL	AOSB3	same	UZ33647	UZ33647	1882	1882	Y	differs	differs	1	1	5	5	N	N
IEFJDIRD	AOSB3	same	EBB1102	EBB1102	525	525	Y	differs	differs	1	1	13	13	N	N
IEFJDSNA	AOSB3	same	EBB1102	EBB1102	549	549	Y	differs	differs	1	1	1	1	N	N
IEFJDWRT	AOSB3	same	EBB1102	EBB1102	525	525	Y	identical	identical	1	1	0	0	N	N
IEFJESDM	AOSB3	same	FBB1221	FBB1221	449	449	Y	identical	identical	1	1	0	0	N	N
IEFJJCLS	AOSB3	same	EBB1102	EBB1102	781	781	Y	differs	differs	1	1	6	6	N	N
IEFJJOBS	AOSB3	same	EBB1102	EBB1102	981	981	Y	differs	differs	1	1	2	2	N	N
IEFJJTRM	AOSB3	same	EBB1102	EBB1102	501	501	Y	differs	differs	1	1	6	6	N	N
IEFJRASP	AOSB3	same	EBB1102	EBB1102	717	717	Y	differs	differs	1	1	2	2	N	N
IEFJREAD	AOSB3	same	EBB1102	EBB1102	581	581	Y	differs	differs	1	1	9	9	N	N
IEFJRECM	AOSB3	same	EBB1102	EBB1102	1241	1241	Y	differs	differs	1	1	1	1	N	N
IEFJSDTN	AOSB3	rmid-differs	UY02859	EBB1102	765	653	N	differs	identical	1	1	0	0	Y	N
IEFJSINT	AOSB3	same	EBB1102	EBB1102	1873	1873	Y	identical	identical	1	1	0	0	N	N
IEFJSREQ	AOSB3	same	EBB1102	EBB1102	845	845	Y	differs	differs	1	1	1	1	N	N
IEFJSSNT	AOSB3	same	EBB1102	EBB1102	946	946	Y	differs	differs	1	1	12	12	N	N
IEFJSWT	AOSB3	same	UZ25987	UZ25987	1474	1474	Y	differs	differs	1	1	0	0	Y	Y
IEFJWRTE	AOSB3	same	EBB1102	EBB1102	669	669	Y	differs	differs	1	1	15	15	N	N
IEFJWTOM	AOSB3	rmid-differs	UY27599	EBB1102	869	805	N	differs	differs	1	1	0	7	Y	N
IEFNB901	AOSB3	rmid-differs	UY09721	UZ65878	1501	1501	N	differs	differs	1	1	0	0	Y	Y
IEFNB902	AOSB3	same	EDM1102	EDM1102	2981	2981	Y	differs	differs	1	1	81	81	N	N
IEFNB903	AOSB3	same	UZ51830	UZ51830	1871	1871	Y	differs	differs	1	1	0	0	Y	Y
IEFNB9CR	AOSB3	same	EBB1102	EBB1102	997	997	Y	differs	differs	1	1	0	0	Y	Y
IEFNB9CT	AOSB3	same	EBB1102	EBB1102	517	517	Y	differs	differs	1	1	6	6	N	N
IEFNB9IR	AOSB3	same	EBB1102	EBB1102	997	997	Y	differs	differs	1	1	0	0	Y	Y
IEFNB9IT	AOSB3	same	EBB1102	EBB1102	577	577	Y	identical	identical	1	1	0	0	N	N
IEFQB550	AOSB3	same	UZ33391	UZ33391	1974	1974	Y	differs	differs	1	1	0	0	Y	Y
IEFQB555	AOSB3	same	UZ54232	UZ54232	1974	1974	Y	differs	differs	1	1	0	0	Y	Y
IEFQB580	AOSB3	same	EBB1102	EBB1102	613	613	Y	differs	differs	1	1	19	19	N	N
IEFQB585	AOSB3	same	EBB1102	EBB1102	653	653	Y	differs	differs	1	1	38	38	N	N
IEFRSTRT	AOSB3	same	EBB1102	EBB1102	341	341	Y	identical	identical	1	1	0	0	N	N
IEFSCAN	AOSB3	same	EBB1102	EBB1102	661	661	Y	differs	differs	1	1	0	0	Y	Y
IEFSD087	AOSB0	same	UZ26378	UZ26378	1960	1960	Y	differs	differs	3	3	2	2	Y	Y
IEFSD088	AOSB0	same	UZ26378	UZ26378	622	622	Y	differs	differs	2	2	0	0	Y	Y
IEFSD089	AOSB0	rmid-differs	UZ71633	UZ26378	2036	2012	N	differs	differs	3	3	0	2	Y	Y
IEFSD094	AOSB0	same	UZ26378	UZ26378	1622	1622	Y	differs	differs	1	1	0	0	Y	Y
IEFSD095	AOSB0	same	UZ26378	UZ26378	1518	1518	Y	differs	differs	2	2	0	0	Y	Y
IEFSD101	AOSB3	rmid-differs	UY02270	EBB1102	1422	1402	N	differs	differs	1	1	0	3	Y	N
IEFSD102	AOSB3	same	UZ72648	UZ72648	1197	1197	Y	differs	differs	1	1	7	7	N	N
IEFSD103	AOSB3	same	UZ33323	UZ33323	799	799	Y	differs	differs	1	1	0	0	Y	Y
IEFSD160	AOSB3	same	EBB1102	EBB1102	1005	1005	Y	differs	differs	1	1	0	0	Y	Y
IEFSD161	AOSB3	same	UZ30512	UZ30512	3770	3770	Y	differs	differs	1	1	0	0	Y	Y
IEFSD162	AOSB3	same	UZ22590	UZ22590	2971	2971	Y	differs	differs	1	1	41	41	N	N
IEFSD164	AOSB3	rmid-differs	UZ43063	UZ52808	1910	1911	N	differs	differs	1	1	0	0	Y	Y
IEFSD166	AOSB3	same	UZ39902	UZ39902	1625	1625	Y	differs	differs	1	1	0	0	Y	Y
IEFSDTTE	AOSB0	same	UZ54391	UZ54391	2582	2582	Y	differs	differs	1	1	0	0	Y	Y
IEFSDXXX	AOSB0	same	UZ26378	UZ26378	1486	1486	Y	differs	differs	2	2	1	1	N	N
IEFSMFIE	AOSB3	same	UZ31977	UZ31977	1391	1391	Y	differs	differs	1	1	0	0	Y	Y
IEFTB720	AOSB3	same	EBB1102	EBB1102	725	725	Y	differs	differs	1	1	0	0	Y	Y
IEFTB721	AOSB3	same	UZ37452	UZ37452	2578	2578	Y	differs	differs	1	1	0	0	Y	Y
IEFTB722	AOSB3	same	UZ37452	UZ37452	3850	3850	Y	differs	differs	1	1	0	0	Y	Y
IEFTB723	AOSB3	same	UZ27145	UZ27145	710	710	Y	differs	differs	1	1	0	0	Y	Y
IEFU29	AOS00	same	EBB1102	EBB1102	365	365	Y	differs	differs	1	1	10	10	N	N
IEFU83	AOS00	same	EBB1102	EBB1102	341	341	Y	identical	identical	1	1	0	0	N	N
IEFUJI	AOSB3	same	EBB1102	EBB1102	365	365	Y	differs	differs	1	1	0	0	Y	Y
IEFUJP	ALPALIB	same	EBB1102	EBB1102	341	341	Y	identical	identical	1	1	0	0	N	N
IEFUJV	AOSB3	same	EBB1102	EBB1102	365	365	Y	differs	differs	1	1	0	0	Y	Y
IEFUSI	AOSB3	same	EBB1102	EBB1102	365	365	Y	differs	differs	1	1	0	0	Y	Y
IEFUSO	ALPALIB	same	EBB1102	EBB1102	341	341	Y	identical	identical	1	1	0	0	N	N
IEFUTL	AOSB3	same	EBB1102	EBB1102	365	365	Y	differs	differs	1	1	0	0	Y	Y
IEFVDBSD	AOSB3	same	UZ27637	UZ27637	1039	1039	Y	differs	differs	1	1	0	0	Y	Y
IEFVFB	AOSB3	rmid-differs	UY28299	UZ80285	2478	2438	N	differs	differs	1	1	0	1749	Y	N
IEFVGI	AOSB3	same	EBB1102	EBB1102	922	922	Y	differs	differs	1	1	13	13	N	N
IEFVGK	AOSB3	same	EBB1102	EBB1102	978	978	Y	differs	differs	1	1	13	13	N	N
IEFVGM	AOSB3	same	UZ58715	UZ58715	1791	1791	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM1	AOSB3	same	EBB1102	EBB1102	669	669	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM10	AOSB3	same	EBB1102	EBB1102	725	725	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM11	AOSB3	same	EBB1102	EBB1102	717	717	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM12	AOSB3	same	EBB1102	EBB1102	717	717	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM13	AOSB3	same	EBB1102	EBB1102	693	693	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM14	AOSB3	same	EBB1102	EBB1102	557	557	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM15	AOSB3	same	EBB1102	EBB1102	517	517	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM16	AOSB3	same	EBB1102	EBB1102	533	533	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM17	AOSB3	same	EBB1102	EBB1102	594	594	Y	differs	differs	1	1	13	13	N	N
IEFVGM18	AOSB3	same	EBB1102	EBB1102	517	517	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM19	AOSB3	same	EBB1102	EBB1102	629	629	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM2	AOSB3	same	EBB1102	EBB1102	677	677	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM3	AOSB3	same	EBB1102	EBB1102	781	781	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM4	AOSB3	same	EBB1102	EBB1102	645	645	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM5	AOSB3	same	EBB1102	EBB1102	637	637	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM6	AOSB3	same	EBB1102	EBB1102	669	669	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM67	AOSB3	same	EBB1102	EBB1102	669	669	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM7	AOSB3	same	EBB1102	EBB1102	685	685	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM70	AOSB3	same	EBB1102	EBB1102	661	661	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM71	AOSB3	same	UZ25549	UZ25549	1367	1367	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM76	AOSB3	same	EBB1102	EBB1102	810	810	Y	differs	differs	1	1	13	13	N	N
IEFVGM78	AOSB3	same	EBB1102	EBB1102	629	629	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM8	AOSB3	same	EBB1102	EBB1102	525	525	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM9	AOSB3	same	EBB1102	EBB1102	581	581	Y	differs	differs	1	1	0	0	Y	Y
IEFVGM90	AOSB3	same	EBB1102	EBB1102	517	517	Y	identical	identical	1	1	0	0	N	N
IEFVGS	AOSB3	same	UZ64501	UZ64501	1462	1462	Y	differs	differs	1	1	0	0	Y	Y
IEFVGT	AOSB3	same	UZ30233	UZ30233	1375	1375	Y	differs	differs	1	1	0	0	Y	Y
IEFVH1	AOSB3	same	UZ59124	UZ59124	1438	1438	Y	differs	differs	1	1	0	0	Y	Y
IEFVHA	AOSB3	same	UZ58120	UZ58120	1607	1607	Y	differs	differs	1	1	0	0	Y	Y
IEFVHC	AOSB3	same	UZ52989	UZ52989	1055	1055	Y	differs	differs	1	1	0	0	Y	Y
IEFVHCB	AOSB3	same	UZ58715	UZ58715	2711	2711	Y	differs	differs	1	1	0	0	Y	Y
IEFVHE	AOSB3	same	UZ58715	UZ58715	1295	1295	N	differs	differs	1	1	0	0	Y	Y
IEFVHEB	AOSB3	same	EBB1102	EBB1102	1381	1381	Y	differs	differs	1	1	0	0	Y	Y
IEFVHF	AOSB3	same	UZ51830	UZ51830	1223	1223	N	differs	differs	1	1	0	0	Y	Y
IEFVHH	AOSB3	same	UZ30233	UZ30233	1487	1487	Y	differs	differs	1	1	0	0	Y	Y
IEFVHL	AOSB3	same	EBB1102	EBB1102	829	829	Y	differs	differs	1	1	0	0	Y	Y
IEFVHM	AOSB3	same	EBB1102	EBB1102	1641	1641	Y	differs	differs	1	1	0	0	Y	Y
IEFVHN	AOSB3	same	EBB1102	EBB1102	1042	1042	Y	differs	differs	1	1	13	13	N	N
IEFVHQ	AOSB3	same	UZ59124	UZ59124	814	814	Y	differs	differs	1	1	0	0	Y	Y
IEFVHR	AOSB3	same	EBB1102	EBB1102	1169	1169	Y	differs	differs	1	1	0	0	Y	Y
IEFVINA	AOSB3	same	UZ64858	UZ64858	2142	2142	Y	differs	differs	1	1	0	0	Y	Y
IEFVINB	AOSB3	same	EBB1102	EBB1102	485	485	Y	differs	differs	1	1	0	0	Y	Y
IEFVINC	AOSB3	rmid-differs	UZ44548	EBB1102	821	781	N	differs	differs	1	1	0	1	Y	N
IEFVIND	AOSB3	same	EBB1102	EBB1102	877	877	Y	differs	differs	1	1	0	0	Y	Y
IEFVINE	AOSB3	same	EBB1102	EBB1102	973	973	Y	differs	differs	1	1	5	5	N	N
IEFVJA	AOSB3	same	UZ39248	UZ39248	2310	2310	Y	differs	differs	1	1	0	0	Y	Y
IEFXB500	AOSB3	same	UZ69623	UZ69623	3289	3289	Y	differs	differs	1	1	0	0	Y	Y
IEFXB601	AOSB3	same	UZ59884	UZ59884	7485	7485	Y	differs	differs	1	1	0	0	Y	Y
IEFXB602	AOSB3	same	EBB1102	EBB1102	1469	1469	Y	differs	differs	1	1	6	6	N	N
IEFXB603	AOSB3	same	EBB1102	EBB1102	1113	1113	Y	differs	differs	1	1	17	17	N	N
IEFXB604	AOSB3	same	EBB1102	EBB1102	1245	1245	Y	differs	differs	1	1	52	52	N	N
IEFXVNSL	AOSB3	same	EBB1102	EBB1102	341	341	Y	identical	identical	1	1	0	0	N	N
IEHATLAS	AOSU0	same	UZ53196	UZ53196	4746	4746	Y	differs	differs	1	1	0	0	Y	Y
IEHDAOUT	AOSU0	same	EDS1102	EDS1102	1518	1518	Y	identical	identical	1	1	0	0	N	N
IEHDASDR	AOSU0	same	EDS1102	EDS1102	1550	1550	Y	identical	identical	1	1	0	0	N	N
IEHDCONS	AOSU0	same	EDS1102	EDS1102	1886	1886	Y	differs	differs	1	1	0	0	Y	Y
IEHDDATE	AOSU0	same	EDS1102	EDS1102	610	610	Y	identical	identical	1	1	0	0	N	N
IEHDLABL	AOSU0	same	UZ34341	UZ34341	2137	2137	Y	differs	differs	1	1	0	0	Y	Y
IEHDMSGB	AOSU0	same	EDS1102	EDS1102	522	522	Y	identical	identical	1	1	0	0	N	N
IEHDMSGS	AOSU0	same	UZ34450	UZ34450	4385	4385	Y	identical	identical	1	1	0	0	N	N
IEHDPRNT	AOSU0	same	UZ25004	UZ25004	845	845	Y	differs	differs	1	1	67	67	N	N
IEHDSCAN	AOSU0	same	UZ30975	UZ30975	3333	3333	Y	identical	identical	1	1	0	0	N	N
IEHLIST2	AOSU0	same	EUT1102	EUT1102	6166	6166	Y	identical	identical	1	1	0	0	N	N
IEHMESS	AOSU0	same	EDS1102	EDS1102	2069	2069	Y	identical	identical	1	1	0	0	N	N
IEHMOVE	AOSU0	rmid-differs	UZ64586	UZ24307	1174	1045	N	differs	differs	1	1	0	32	Y	N
IEHMVESA	AOSU0	same	UZ24328	UZ24328	1815	1815	Y	identical	identical	2	2	0	0	N	N
IEHMVESC	AOSU0	same	UZ57924	UZ57924	4504	4504	Y	differs	differs	2	2	0	0	Y	Y
IEHMVESI	AOSU0	same	EUT1102	EUT1102	1910	1910	Y	differs	differs	2	2	219	219	N	N
IEHMVESK	AOSU0	rmid-differs	UZ64586	UZ24329	1273	1279	N	differs	differs	2	2	0	4	Y	N
IEHMVESL	AOSU0	rmid-differs	UZ68505	UZ26050	3449	2807	N	differs	differs	2	2	0	0	Y	Y
IEHMVESM	AOSU0	rmid-differs	UZ90251	UZ24397	3845	3159	N	differs	differs	2	2	0	2	Y	N
IEHMVESN	AOSU0	rmid-differs	UZ70337	UZ30285	2678	2465	N	differs	differs	1	1	0	0	Y	Y
IEHMVESO	AOSU0	same	UZ24417	UZ24417	1235	1235	Y	differs	differs	2	2	4	4	N	N
IEHMVESP	AOSU0	same	EUT1102	EUT1102	2122	2122	Y	differs	differs	2	2	42	42	N	N
IEHMVESQ	AOSU0	same	EUT1102	EUT1102	2242	2242	Y	differs	differs	1	1	35	35	N	N
IEHMVESR	AOSU0	same	UZ24506	UZ24506	1309	1309	Y	differs	differs	2	2	0	0	Y	Y
IEHMVEST	AOSU0	rmid-differs	UZ68472	EUT1102	2858	2769	N	differs	differs	1	1	0	44	Y	N
IEHMVESU	AOSU0	same	UZ29571	UZ29571	933	933	Y	differs	differs	1	1	0	0	Y	Y
IEHMVETG	AOSU0	same	UZ36157	UZ36157	4503	4503	Y	differs	differs	2	2	0	0	Y	Y
IEHMVETJ	AOSU0	rmid-differs	UZ71929	UZ33765	4801	4239	N	differs	differs	2	2	0	0	Y	Y
IEHMVMRY	AOSU0	same	EUT1102	EUT1102	1861	1861	Y	identical	identical	1	1	0	0	N	N
IEHMVMRZ	AOSU0	rmid-differs	UZ90251	UZ33850	2554	2461	N	differs	differs	1	1	0	0	Y	Y
IEHMVMSN	AOSU0	same	UZ24443	UZ24443	741	741	Y	identical	identical	1	1	0	0	N	N
IEHMVMSQ	AOSU0	same	UZ24470	UZ24470	981	981	Y	identical	identical	1	1	0	0	N	N
IEHMVMSY	AOSU0	rmid-differs	UZ90251	UZ36443	2178	1993	N	differs	differs	1	1	0	0	Y	Y
IEHMVMTA	AOSU0	same	EUT1102	EUT1102	1869	1869	Y	identical	identical	1	1	0	0	N	N
IEHMVMTL	AOSU0	same	UZ24495	UZ24495	1137	1137	Y	identical	identical	1	1	0	0	N	N
IEHMVSRA	AOSU0	same	UZ24504	UZ24504	2739	2739	Y	differs	differs	3	3	2	2	N	N
IEHMVSRD	AOSU0	same	UZ33417	UZ33417	2619	2619	Y	differs	differs	2	2	0	0	Y	Y
IEHMVSRK	AOSU0	rmid-differs	UZ68505	EUT1102	1261	1222	N	differs	differs	2	2	0	6	Y	N
IEHMVSRM	AOSU0	same	EUT1102	EUT1102	829	829	Y	differs	differs	1	1	2	2	N	N
IEHMVSRV	AOSU0	rmid-differs	UZ78161	UZ35492	4338	3397	N	differs	differs	1	1	0	0	Y	Y
IEHMVSRX	AOSU0	rmid-differs	UZ77472	UZ35854	4950	3245	N	differs	differs	1	1	0	0	Y	Y
IEHMVSRY	AOSU0	rmid-differs	UZ68676	EUT1102	1506	1369	N	differs	differs	1	1	0	0	Y	Y
IEHMVSRZ	AOSU0	rmid-differs	UZ47187	UZ24497	1578	1457	N	differs	differs	1	1	0	0	Y	Y
IEHMVSSF	AOSU0	rmid-differs	UZ74453	UZ33810	3770	3581	N	differs	differs	1	1	0	0	Y	Y
IEHMVSSS	AOSU0	same	EUT1102	EUT1102	4422	4422	Y	identical	identical	1	1	0	0	N	N
IEHMVSSV	AOSU0	same	UZ34775	UZ34775	1705	1705	Y	differs	differs	1	1	0	0	Y	Y
IEHMVSSY	AOSU0	rmid-differs	UZ90251	UZ29701	2594	2449	N	differs	differs	1	1	0	0	Y	Y
IEHMVSSZ	AOSU0	rmid-differs	UZ59466	UZ36380	2730	2805	N	differs	differs	1	1	0	0	Y	Y
IEHMVSTA	AOSU0	rmid-differs	UZ71526	UZ33393	3002	2977	N	differs	differs	2	2	0	0	Y	Y
IEHMVSTC	AOSU0	rmid-differs	UZ67298	UZ33806	2312	2331	N	differs	differs	3	3	0	0	Y	Y
IEHMVSTL	AOSU0	rmid-differs	UZ68505	UZ24501	3510	3509	N	differs	differs	1	1	0	0	Y	Y
IEHMVXSE	AOSU0	rmid-differs	UZ72602	UZ33853	4010	3985	N	differs	differs	1	1	0	0	Y	Y
IEHMVXSF	AOSU0	same	UZ33823	UZ33823	485	485	Y	differs	differs	1	1	2	2	N	N
IEHPRNT	AOSU0	same	EUT1102	EUT1102	661	661	Y	differs	differs	1	1	5	5	N	N
IEHPROG3	AOSU0	rmid-differs	UZ72844	UZ28350	4386	4385	N	differs	differs	1	1	0	0	Y	Y
IEHPROG4	AOSU0	same	UZ25730	UZ25730	1433	1433	Y	differs	differs	1	1	0	0	Y	Y
IEHPROG5	AOSU0	same	UZ25737	UZ25737	933	933	Y	differs	differs	1	1	0	0	Y	Y
IEHSCAN	AOSU0	same	EUT1102	EUT1102	1693	1693	Y	identical	identical	1	1	0	0	N	N
