module	distlib	tk5_rmid	ce_rmid	state
BLSFPERS	AOS32	EIP1102	EIP1102	same
BLSFPS00	AOS32	EIP1102	EIP1102	same
BLSFSCRT	AOS32	UZ90098	UZ90098	same
BLSFSD00	AOS32	EIP1102	EIP1102	same
BLSFSL00	AOS32	EIP1102	EIP1102	same
BLSFTL00	AOS32	EIP1102	EIP1102	same
BLSFUD00	AOS32	EIP1102	EIP1102	same
BLSFUP00	AOS32	EIP1102	EIP1102	same
BLSFVRFY	AOS32	EIP1102	EIP1102	same
BLSR3270	AOS32	UZ35141	UZ35141	same
BLSRACC	AOS32	EIP1102	EIP1102	same
BLSRACCL	AOS32	EIP1102	EIP1102	same
BLSRACCQ	AOS32	EIP1102	EIP1102	same
BLSRADD1	AOS32	UZ29981	UZ29981	same
BLSRADD2	AOS32	EIP1102	EIP1102	same
BLSRADD3	AOS32	UZ28623	UZ28623	same
BLSRADD4	AOS32	UZ28623	UZ28623	same
BLSRADDP	AOS32	EIP1102	EIP1102	same
BLSRADDR	AOS32	EIP1102	EIP1102	same
BLSRADDS	AOS32	EIP1102	EIP1102	same
BLSRADDT	AOS32	EIP1102	EIP1102	same
BLSRADDU	AOS32	EIP1102	EIP1102	same
BLSRASCX	AOS32	EIP1102	EIP1102	same
BLSRASM7	AOS32	EIP1102	EIP1102	same
BLSRCOCL	AOS32	UZ90098	UZ90098	same
BLSRCOHD	AOS32	UZ90098	UZ90098	same
BLSRCOIN	AOS32	UZ90098	UZ90098	same
BLSRCOMK	AOS32	UZ31057	UZ31057	same
BLSRCOMP	AOS32	UZ58904	UZ28623	rmid-differs
BLSRCOPY	AOS32	UZ90098	UZ90098	same
BLSRCOTA	AOS32	UZ90098	UZ90098	same
BLSRDUAL	AOS32	UZ90097	UZ90097	same
BLSRDUCC	AOS32	EIP1102	EIP1102	same
BLSRDUCK	AOS32	EIP1102	EIP1102	same
BLSRDUCL	AOS32	EIP1102	EIP1102	same
BLSRDUDE	AOS32	UZ28623	UZ28623	same
BLSRDUDR	AOS32	EIP1102	EIP1102	same
BLSRDUIC	AOS32	UZ28623	UZ28623	same
BLSRDUIH	AOS32	UZ28623	UZ28623	same
BLSRDUIN	AOS32	UZ58273	UZ56228	rmid-differs
BLSRDUIS	AOS32	UZ36195	UZ36195	same
BLSRDULS	AOS32	EIP1102	EIP1102	same
BLSRDUOP	AOS32	UZ55485	UZ55485	same
BLSRDUSC	AOS32	UZ90097	UZ90097	same
BLSRENQK	AOS32	EIP1102	EIP1102	same
BLSREQU	AOS32	UZ28623	UZ28623	same
BLSRESAR	AOS32	UZ35265	UZ35265	same
BLSRESCK	AOS32	UZ28623	UZ28623	same
BLSRESDR	AOS32	EIP1102	EIP1102	same
BLSRESGC	AOS32	EIP1102	EIP1102	same
BLSRESGE	AOS32	UZ28623	UZ28623	same
BLSRESGQ	AOS32	EIP1102	EIP1102	same
BLSRESGU	AOS32	EIP1102	EIP1102	same
BLSRESPU	AOS32	UZ35265	UZ35265	same
BLSRESRU	AOS32	EIP1102	EIP1102	same
BLSRESSA	AOS32	UZ90098	UZ90098	same
BLSREVAL	AOS32	UZ28623	UZ28623	same
BLSRFIND	AOS32	UZ28623	UZ28623	same
BLSRFMOD	AOS32	EIP1102	EIP1102	same
BLSRFUCB	AOS32	EIP1102	EIP1102	same
BLSRIOSK	AOS32	UZ26085	UZ26085	same
BLSRLIST	AOS32	UZ28623	UZ28623	same
BLSRLSYM	AOS32	EIP1102	EIP1102	same
