module	anchor	seclocate	source
IEHDDUMP		0x94	seclocate
IEHDGETA		0x200	seclocate
IEHDINIT		0xDE	seclocate
IEHDIPLI		0xC3	seclocate
IEHDLABL	0x2E	0x0	both
IEHDPASS		0x132F	seclocate
IEHDRCVR		0x18	seclocate
IEHDREST		0xCE	seclocate
IEHMVESC	0x74		anchor
IEHMVESH	0x3A	0x10	both
IEHMVMRZ	0x0		anchor
IEHMVMSY	0x0		anchor
IEHMVSRD	0x0	0x3	both
IEHMVSRK	0x0	0x0	both
IEHMVSRV	0x0		anchor
IEHMVSRZ	0xE4		anchor
IEHMVSSX	0x0	0x10	both
IEHMVSSY	0x0		anchor
IEHMVSTL	0x0	0x0	both
IEHPROG2	0x3C		anchor
IEHPROG3	0x34		anchor
IEHPROG4	0x34	0x0	both
IEHPROG5	0x46	0x0	both
IEWSWOVR	0x6E		anchor
IEZDCODE	0xC		anchor
IEZNCODE	0xC		anchor
IFASMFDP	0xEA	0xC	both
IFCDEVIC	0x5E		anchor
IFCE0135	0x0		anchor
IFCE0145	0x0		anchor
IFCE0155	0x0		anchor
IFCE0165	0x0		anchor
IFCE2860	0x0		anchor
IFCE2870	0x0		anchor
IFCE2880	0xF0	0x32C	both
IFCEAXXX	0x18		anchor
IFCEDDR0	0x20		anchor
IFCEE155	0x0		anchor
IFCEF155	0x0		anchor
IFCEGUS1	0x14		anchor
IFCEI135	0x0		anchor
IFCEI145	0x0		anchor
IFCEI155	0x0		anchor
IFCEJ145	0x0		anchor
IFCEMAD1	0x14		anchor
IFCEREP1	0x20		anchor
IFCERFMT	0x1C		anchor
IFCESOFT	0x1D6		anchor
IFCESUMS	0x24		anchor
IFCET002	0x196		anchor
IFCET003	0x2A		anchor
IFCET004	0x48		anchor
IFCET005	0x14		anchor
IFCET006	0x2A		anchor
IFCET008	0x54		anchor
IFCET00B	0x14		anchor
IFCET00C	0x3C		anchor
IFCET00D	0x30		anchor
IFCETRN4		0x55	seclocate
IFCEUKNO	0x1C		anchor
IFCEVENT	0x3A		anchor
IFCEWIN1	0x14		anchor
IFCEXXX0	0x22		anchor
IFCEXXX1	0x1C		anchor
IFCEXXX2	0x1C		anchor
IFCEXXX3	0x1C		anchor
IFCEXXX4	0x1C		anchor
IFCEXXX5	0x20		anchor
IFCEXXX6	0x1C		anchor
IFCEXXX7	0x1C		anchor
IFCEXXX8	0x1C		anchor
IFCEXXX9	0x1C		anchor
IFCEXXXA	0x1A	0x19E	both
IFCEXXXB	0x14		anchor
IFCEXXXE	0x4A		anchor
IFCEXXXF	0x30		anchor
IFCEXXXG	0x14		anchor
IFCEXXXH	0x22		anchor
IFCEXXXX	0x14		anchor
IFCFILT2	0x62		anchor
IFCFILT3	0x62		anchor
IFCFILT4	0x56		anchor
IFCFMTIO	0x20	0xF	both
IFCFRAMC	0x6E	0xF	both
IFCFRAME	0x8E		anchor
IFCFRAMM	0x66		anchor
IFCIOHND	0x72	0x1253	both
IFCMSG01	0x20		anchor
IFCNFPDR	0x78		anchor
IFCOFFLD	0x20		anchor
IFCPARM1	0x3E		anchor
IFCPARM2	0x20		anchor
IFCS0165	0xA6	0x483	both
IFCSAXXX	0x28		anchor
IFCSDASD	0xCE		anchor
IFCSGUS1	0x84		anchor
IFCSHARE	0x66	0x163	both
IFCSI145	0x0		anchor
IFCSSOFT	0x48		anchor
IFCST005	0xC		anchor
IFCST008	0x2E2	0x772	both
IFCSXXX7	0x2E4	0x4D5	both
IFCSXXX9	0xC		anchor
IFCSXXXA	0xC		anchor
IFCSXXXB	0xC		anchor
IFCSXXXE	0x1C0	0x1C0	both
IFCSXXXF	0xC		anchor
IFCSXXXH	0x2A0	0x2A3	both
IFCSXXXX	0x12		anchor
IFCSYSUM	0x3A		anchor
IFCTHRSH	0x3E		anchor
IFCTREND	0x62		anchor
IFDOLT00		0x11	seclocate
IFDOLT03	0x1E	0xE	both
IFDOLT18	0x1E	0x92	both
IFDOLT22	0x22		anchor
IFDOLT24	0x22	0x1E3	both
IFDOLT30	0x14	0xE	both
IFDOLT36	0x4E		anchor
IFDOLT44	0x30	0xF5	both
IFDOLT52	0x1E	0x1A1	both
IFDOLT53	0x1E	0x15	both
IFDOLT55	0x1E	0x68	both
IFDOLT58	0xA2		anchor
IFDOLT62	0x1C		anchor
IFDOLT67	0x1C	0xB9	both
IFDOLT99	0x2A		anchor
IFFACA50		0x0	seclocate
IFFADA01		0x24B	seclocate
IFFAEA04		0x19D	seclocate
IFFAFA01		0x16	seclocate
IFFAFA03		0x27C	seclocate
IFFAFA04		0x8	seclocate
IFFAFA08		0x0	seclocate
IFFAFA09		0x14D	seclocate
IFFAHA03		0x188	seclocate
IFFAHA11		0x256	seclocate
IFFAHA13		0x1E9	seclocate
IFFCAN01	0xA		anchor
IFFCAN02	0xB4		anchor
IFFPKADG		0x39B	seclocate
IFG0191X	0x4A		anchor
IFG0192A	0x156		anchor
IFG0193A	0x6		anchor
IFG0193D	0x10	0x0	both
IFG0193E	0x25C	0x0	both
IFG0194A	0x6		anchor
IFG0194C	0x6		anchor
IFG0194F	0x6		anchor
IFG0194J	0x8		anchor
IFG0195A	0xA8	0x0	both
IFG0195B	0x72		anchor
IFG0195H	0x6		anchor
IFG0195K	0x6		anchor
IFG0195U	0x84		anchor
IFG0195V	0xC4		anchor
IFG0196L	0xD6		anchor
IFG0196N	0x58		anchor
IFG0196O	0xA	0xB	both
IFG0196T	0x12		anchor
IFG0196U	0x1B2	0x0	both
IFG0196X	0x5A		anchor
IFG0198N	0x56		anchor
IFG0199B	0x186		anchor
IFG0199D	0x1C		anchor
IFG0199E	0x0		anchor
IFG019RA	0x1110		anchor
IFG019TR	0x38	0x0	both
IFG0200N	0x20		anchor
IFG0200V	0xBA		anchor
IFG0200W	0x9E		anchor
IFG0200Y	0xE8		anchor
IFG0200Z	0x22A	0x0	both
IFG0202A	0x12	0x0	both
IFG0202C	0x1D6	0x0	both
IFG0202E	0xB8		anchor
IFG0202F	0x250		anchor
IFG0202H	0x1F8		anchor
IFG0202I	0x2C		anchor
IFG0202J	0x50	0x0	both
IFG0202K	0x102		anchor
IFG0202L	0x5C		anchor
IFG0232G	0x128	0x9E	both
IFG0232M	0x9A		anchor
IFG0232Z	0x8C		anchor
IFG0550P	0x420	0x0	both
IFG0551B	0x1BA		anchor
IFG0551D	0x130	0x115	both
IFG0551F	0x7C	0x0	both
IFG0551L	0x140		anchor
IFG0551R	0x9E		anchor
IFG0551T	0xAA	0x0	both
IFG0552B	0x14C	0x0	both
IFG0552D	0xF6	0x0	both
IFG0552F	0xE		anchor
IFG0552N	0x118	0x0	both
IFG0552R	0x8A	0x0	both
IFG0552T	0x90	0x0	both
IFG0552X	0x66		anchor
IFG0553F	0x6		anchor
IFG0553P	0xA8	0x0	both
IFG0553X	0x3BC	0x0	both
IFG0554N	0x2		anchor
IFG0554P	0x80		anchor
IFG0554T	0x28		anchor
IFG0555H	0x6	0x0	both
IFG0RR0A	0x18	0x197	both
IFG0RR0B	0x182		anchor
IFG0RR0E	0x56		anchor
IFG0TC0A	0x81C		anchor
IGC0001I	0x2		anchor
IGC00020	0x26C		anchor
IGC0002A	0x1BC	0x1BB	both
IGC0002B	0x6A		anchor
IGC0002C	0x238	0x0	both
IGC0002D	0x1E		anchor
IGC0002E	0x2C		anchor
IGC0002F	0x22		anchor
IGC0002G	0x2		anchor
IGC00030	0xBA		anchor
IGC0003A	0x70		anchor
IGC0005C	0x6C		anchor
IGC0005E	0x6		anchor
IGC0005G	0x5A	0x1E	both
IGC0005I	0x16		anchor
IGC0006D	0x26E	0x0	both
IGC0006F	0x6C		anchor
IGC0006H	0x7C		anchor
IGC0006I	0x22		anchor
IGC0007A	0x2		anchor
IGC0007C	0x3E		anchor
IGC0007D	0x3A		anchor
IGC0007E	0x36		anchor
IGC0007H	0xDE	0xDB	both
IGC0008A	0x2		anchor
IGC0008B		0x2CA	seclocate
IGC0008F	0xCE		anchor
IGC0009C	0x1C		anchor
IGC0009D		0xCF	seclocate
IGC0009H	0x10		anchor
IGC0010E	0x98		anchor
IGC0012F	0x20		anchor
IGC0102G	0x98		anchor
IGC0106H	0x0		anchor
IGC0109H	0x10		anchor
IGC0112F	0x0	0xE	both
IGC018		0xE	seclocate
IGC0203E	0x0		anchor
IGC0206H	0x0		anchor
IGC0209H	0x12		anchor
IGC0210D		0x91	seclocate
IGC0306H	0x0		anchor
IGC0406H	0x0		anchor
IGC0410D		0x6B	seclocate
IGC0505I	0x3E	0x26	both
IGC0506C	0x1B0	0x1A0	both
IGC0506F	0x4E		anchor
IGC0506H	0x14		anchor
IGC0606H	0x0		anchor
IGC0706F	0x76	0x16E	both
IGC0706H	0x0		anchor
IGC0806H	0x0		anchor
IGC0905I	0x264		anchor
IGC0906H	0x3E		anchor
IGC0D06F	0x1E		anchor
IGC0D10D		0x17F	seclocate
IGC0E06F	0x1C		anchor
IGC0F05A	0x0		anchor
IGC0F06F	0x1C		anchor
IGC0G10D	0x148	0x14B	both
IGC0H10D		0x11B	seclocate
IGC0K05B	0xCE	0x133	both
IGC0L05B	0x10	0x0	both
IGC0M05B	0xEE	0x13	both
IGC0N05B	0x28		anchor
IGC0N06C	0x8E	0x1A2	both
IGC0P05B	0x100	0x26E	both
IGC0R05B	0x12A	0x16	both
IGC0S05B	0x200	0x10	both
IGC0T05B	0x316	0x10	both
IGC0U05B	0x2B0	0x11	both
IGC0W05B	0x166	0x11	both
IGC1206F	0xE		anchor
IGC1306F	0x4C		anchor
IGC1406F	0x8C	0x196	both
IGCAC10D		0x1A9	seclocate
IGCD510D		0x26A	seclocate
IGCD710D		0x10E	seclocate
IGCD910D		0x162	seclocate
IGCDB10D		0x15F	seclocate
IGCDC10D		0x381	seclocate
IGCFH10D		0x400	seclocate
IGCFI10D		0x0	seclocate
IGCFL10D		0x0	seclocate
IGCI110D		0x260	seclocate
IGCI210D		0x400	seclocate
IGCI310D		0x159	seclocate
IGCM210D		0x188	seclocate
IGCM310D		0x119	seclocate
IGCM510D		0x1BE	seclocate
IGCM810D		0x2BA	seclocate
IGCME10D		0x20C	seclocate
IGCMG10D		0x142	seclocate
IGCMH10D		0x319	seclocate
IGCMR10D		0x17D	seclocate
IGCMV10D		0x400	seclocate
IGCMY10D		0x15D	seclocate
IGCN010D	0x9E	0x13	both
IGCR010D		0x400	seclocate
IGCT002D	0x18	0xE	both
IGCT005C	0x4FC	0x987	both
IGCT005G	0x17A	0x694	both
IGCT010D		0x0	seclocate
IGCT105C	0xC0		anchor
IGCT110D		0x257	seclocate
IGCV010D		0x18A	seclocate
IGCV310D		0x300	seclocate
IGCV410D		0x0	seclocate
IGCV710D		0x1C8	seclocate
IGCVA10D		0x6F	seclocate
IGCZ010D		0x16B	seclocate
IGCZ110D		0x1A	seclocate
IGE0000G	0x30		anchor
IGE0002C	0x16		anchor
IGE0002E	0x7C		anchor
IGE0004B	0x42		anchor
IGE0004C	0x1A		anchor
IGE0004D	0x44		anchor
IGE0010A	0x2E		anchor
IGE0010B	0x2E		anchor
IGE0010D	0x30		anchor
IGE0010E	0x0		anchor
IGE0011A	0xA6		anchor
IGE0011C	0x1A		anchor
IGE0011D	0x1A		anchor
IGE0019I	0x1A		anchor
IGE0025C	0x0		anchor
IGE0104A	0x1C		anchor
IGE0104B	0x22	0x12	both
IGE0104C	0x1E		anchor
IGE0204A	0x50		anchor
IGE0204B	0x7A		anchor
IGE0204C	0x1E		anchor
IGE0301H	0x0		anchor
IGE0304A	0x80		anchor
IGE0304B	0x72		anchor
IGE0304C	0x1E		anchor
IGE0404A	0x38		anchor
IGE0404B	0x26		anchor
IGE0404C	0x20		anchor
IGE0404H	0x46		anchor
IGE0504A	0x1E		anchor
IGE0504B	0x5C		anchor
IGE0504C	0x1E		anchor
IGE0504G	0x66		anchor
IGE0604A	0x62		anchor
IGE0604B	0x6E		anchor
IGE0604C	0x1E		anchor
IGE0704A	0x3E		anchor
IGE0704B	0x5A		anchor
IGE0704C	0xB2	0xE	both
IGE0804A	0x32		anchor
IGE0804B	0x2E		anchor
IGE0804C	0x20		anchor
IGE0904A	0x50		anchor
IGE0904B	0x1E		anchor
IGE0904C	0x1E		anchor
IGFC60	0x1BE	0x12	both
IGFCIC	0x0		anchor
IGFDE0	0x1C	0x5C	both
IGFDE1	0x0	0x0	both
IGFDI1	0x0	0x0	both
IGFDM1	0x0	0xC	both
IGFDMTXT	0x0		anchor
IGFDR0	0x0		anchor
IGFDT1	0x0		anchor
IGFDV0	0x0		anchor
IGFDV1	0x0		anchor
IGFDW0	0x1C	0x43	both
IGFPWMSG	0x1C	0x12	both
IGFRINIT		0x31	seclocate
IGG01916	0x7C	0x10	both
IGG0191A	0x50	0x1C	both
IGG0191C		0x13	seclocate
IGG0191F		0x2FA	seclocate
IGG0191I	0x138		anchor
IGG0191J	0x226	0x10	both
IGG0191L	0x6E	0x0	both
IGG0191M	0x14		anchor
IGG0191N	0xEE		anchor
IGG0191Q	0x25A	0x10	both
IGG0191R	0x38		anchor
IGG0191S	0x88	0x88	both
IGG0191U	0x52		anchor
IGG0191V	0xAE		anchor
IGG01921	0xFE		anchor
IGG01922	0x1BC	0x2DA	both
IGG01924	0x17C		anchor
IGG01928	0x54	0x30A	both
IGG01929	0x3BC	0x3AA	both
IGG0192A	0xC2	0x0	both
IGG0192B	0xCC	0x9A	both
IGG0192C	0x186	0x16C	both
IGG0192D	0x82	0x16	both
IGG0192E	0x154	0x142	both
IGG0192F	0xFC	0xE6	both
IGG0192G	0x31A	0x3C2	both
IGG0192H	0x6C		anchor
IGG0192I	0x36		anchor
IGG0192J	0xAC	0x55	both
IGG0192K	0x9A	0x49	both
IGG0192L	0x88	0x1D	both
IGG0192M	0x282	0x282	both
IGG0192N	0x256	0x256	both
IGG0192Q	0x25E	0x25E	both
IGG0192R	0x50	0x53	both
IGG0192S	0x3A		anchor
IGG0192T	0x2AC	0x29A	both
IGG0192U	0x4E	0x51	both
IGG0192W	0xB4	0x87	both
IGG0192X	0x2B0	0x2B0	both
IGG01931		0x378	seclocate
IGG01934		0x0	seclocate
IGG01936		0x400	seclocate
IGG0193A	0x0		anchor
IGG0193K	0x172	0x0	both
IGG0193M	0x300	0x11	both
IGG0193Q	0x1E		anchor
IGG0193S	0x54		anchor
IGG0193Y	0x26		anchor
IGG01946		0x0	seclocate
IGG0194N	0x18		anchor
IGG0194Q	0x10	0x0	both
IGG01950	0x10A		anchor
IGG0195G	0x1DA	0x28C	both
IGG0195U	0x13A	0x204	both
IGG0196A	0xEA	0xF	both
IGG0196C	0x154	0x142	both
IGG0196G	0xAA	0x13C	both
IGG0196I	0x96		anchor
IGG0196K	0x23C	0xF	both
IGG0196L	0x92	0x96	both
IGG0196S	0xF0	0x2CE	both
IGG0197A	0x29A	0x28C	both
IGG0197B	0x52	0x270	both
IGG0197E	0xB2	0x11	both
IGG0197F	0x32	0x11	both
IGG0197U	0x32		anchor
IGG0199F	0xA6		anchor
IGG0199L	0x28C	0x0	both
IGG0199W	0x1C		anchor
IGG019AA	0x7A		anchor
IGG019AB	0x0		anchor
IGG019AD	0x36		anchor
IGG019AE	0x0		anchor
IGG019AH	0x15C	0x15B	both
IGG019AK	0x0		anchor
IGG019AL	0x4		anchor
IGG019AQ	0xE		anchor
IGG019AR	0x86	0x85	both
IGG019AV	0x0		anchor
IGG019AW	0xA		anchor
IGG019BA	0x34		anchor
IGG019BB	0x6E		anchor
IGG019BE		0x0	seclocate
IGG019BF		0x240	seclocate
IGG019BI	0x10		anchor
IGG019BM	0x1C		anchor
IGG019BN	0x4		anchor
IGG019BO	0x50		anchor
IGG019BP	0x82	0x0	both
IGG019BQ	0xE		anchor
IGG019BR	0x8		anchor
IGG019BV	0x0	0x0	both
IGG019C0	0x16		anchor
IGG019C1	0xC6		anchor
IGG019C2	0x2E		anchor
IGG019C3	0x4		anchor
IGG019C4	0x1C		anchor
IGG019C8	0x1AC	0x1AC	both
IGG019CB	0x7C	0x52	both
IGG019CC	0x2A		anchor
IGG019CD	0x0		anchor
IGG019CH	0x12		anchor
IGG019CI	0xC		anchor
IGG019CJ	0x2C		anchor
IGG019CL	0x36		anchor
IGG019CT	0x1A	0x16	both
IGG019CU	0x70		anchor
IGG019CW	0x0		anchor
IGG019CY	0x16		anchor
IGG019CZ	0x20		anchor
IGG019DA	0x9E	0x9C	both
IGG019DB	0x0		anchor
IGG019DD	0x0		anchor
IGG019DJ	0x18		anchor
IGG019DK	0xFC		anchor
IGG019EI	0x36		anchor
IGG019EJ	0x50		anchor
IGG019FB	0x50	0x91	both
IGG019FD	0x4		anchor
IGG019FF	0xC6	0x17C	both
IGG019FG	0x4		anchor
IGG019FJ	0x1C		anchor
IGG019FL	0x4		anchor
IGG019FP	0x14		anchor
IGG019FR	0x14		anchor
IGG019FS	0x2		anchor
IGG019G0	0x8		anchor
IGG019G1	0x8		anchor
IGG019G2	0x8		anchor
IGG019G3	0x8		anchor
IGG019G4	0x8		anchor
IGG019G5	0x8		anchor
IGG019G6	0x8		anchor
IGG019G7	0x8		anchor
IGG019G8	0x8		anchor
IGG019G9	0x8		anchor
IGG019GG	0x2AA		anchor
IGG019GW	0xCB4		anchor
IGG019GZ	0x34		anchor
IGG019H3	0x4	0x4C1	both
IGG019HA	0x1D4	0x1C9	both
IGG019HB	0x2A0		anchor
IGG019HG	0x28A		anchor
IGG019HK		0x2E2	seclocate
IGG019HN	0xF46		anchor
IGG019I9	0x8		anchor
IGG019IA	0x26C		anchor
IGG019IB	0x26E		anchor
IGG019IO	0x8		anchor
IGG019IZ	0x68		anchor
IGG019J3	0x4	0x40C	both
IGG019JA		0xB	seclocate
IGG019JH	0x9E	0xCBF	both
IGG019KE	0x76	0x70	both
IGG019KF	0x94		anchor
IGG019KJ	0x8	0xA	both
IGG019KK	0x12E	0x103	both
IGG019KM	0x4	0x174	both
IGG019KN	0x4	0x1B4	both
IGG019KU	0x4		anchor
IGG019LC	0x86	0x8E	both
IGG019LE	0x8		anchor
IGG019LS	0x3A		anchor
IGG019OE	0xA		anchor
IGG019PA	0x4C		anchor
IGG019PG	0x40		anchor
IGG019PH	0x36	0x38	both
IGG019PI	0x18		anchor
IGG019PK	0x1E		anchor
IGG019Q6		0x0	seclocate
IGG019Q7		0x0	seclocate
IGG019R4		0x0	seclocate
IGG019RG		0x3	seclocate
IGG019T2	0x114		anchor
IGG019T3	0x6E	0x71	both
IGG019T4	0xD8	0xD7	both
IGG019T5	0x28		anchor
IGG019T6	0xA		anchor
IGG019T7	0x44		anchor
IGG019T8	0x80	0x7A	both
IGG019TC	0x1C		anchor
IGG019TD	0xBE		anchor
IGG019TV	0x0		anchor
IGG019TW	0x0		anchor
IGG019UP	0x1E		anchor
IGG019VW	0x1C	0x1C	both
IGG0201A	0xE6	0x11	both
IGG0201B	0x1FC	0x10	both
IGG0201D	0x28	0x4C	both
IGG0201R		0x19	seclocate
IGG0201Y	0xE6	0x10	both
IGG0201Z	0x86		anchor
IGG02028	0x168	0x3E0	both
IGG02029	0x378	0x428	both
IGG0202A	0xDA	0x0	both
IGG0202B	0x8A	0xE9	both
IGG0202D	0x3A	0x39	both
IGG0202I	0x132	0x302	both
IGG0202J	0x418	0x406	both
IGG0202K	0x198	0x236	both
IGG0202L	0x1EE	0x1DC	both
IGG0202M	0x198	0x26C	both
IGG0202N	0x160	0x14E	both
IGG02030		0x14	seclocate
IGG0203A	0xD0	0xC4	both
IGG0203K	0x86	0x0	both
IGG0203M	0x78		anchor
IGG0203Y	0x26		anchor
IGG0203Z	0x48		anchor
IGG020D1		0x22E	seclocate
IGG020P2		0x2B0	seclocate
IGG020T1	0xAA	0x10	both
IGG0210A	0x2E	0x2D	both
IGG021AB	0x32		anchor
IGG026DU	0x8		anchor
IGG0290C		0x24C	seclocate
IGG03001	0xDC	0x4C	both
IGG03002	0x88	0x5C	both
IGG0325C		0x7A	seclocate
IGG0325D		0xAA	seclocate
IGG0325E		0x2E	seclocate
IGG0325G		0x65	seclocate
IGG0325I		0x0	seclocate
IGG0325K		0x62	seclocate
IGG0325W		0x112	seclocate
IGG0325Z		0x157	seclocate
IGG032I6		0x288	seclocate
IGG0553B		0x96	seclocate
IGG0553D		0x270	seclocate
IGG08104		0x11	seclocate
IGG08108	0x0		anchor
IGG086AE		0x38A	seclocate
IGG09301	0x16	0x14	both
IGG09302	0x82	0x74	both
IGG09400	0x7E	0x14C	both
IGG09402	0x10		anchor
IGG09408	0x10		anchor
IGG09409	0xE	0xE	both
IGG0940A	0xC2	0xBB	both
IGG0940G	0x26	0x25	both
IGG0CLA0	0x16	0xF	both
IGG0CLA2	0x24	0x12	both
IGG0CLA3	0x2C		anchor
IGG0CLA4	0x24		anchor
IGG0CLA5	0x24		anchor
IGG0CLA6	0x24		anchor
IGG0CLA7	0x24		anchor
IGG0CLA8	0x24	0x12	both
IGG0CLA9	0x22		anchor
IGG0CLAC	0xB8	0x15	both
IGG0CLAD	0x24		anchor
IGG0CLAE	0x24		anchor
IGG0CLAF	0x2C		anchor
IGG0CLAG	0x24		anchor
IGG0CLAH	0x20		anchor
IGG0CLAI	0x24	0x20	both
IGG0CLAJ	0x24		anchor
IGG0CLAK	0x24	0x20	both
IGG0CLAL	0x20		anchor
IGG0CLAM		0x10	seclocate
IGG0CLAN	0x24	0x20	both
IGG0CLAP	0x24		anchor
IGG0CLAQ	0x24		anchor
IGG0CLAR	0x24	0x10	both
IGG0CLAS	0x24		anchor
IGG0CLAT	0x20		anchor
IGG0CLAW	0x24	0xF	both
IGG0CLAX	0x24		anchor
IGG0CLAY		0x10	seclocate
IGG0CLAZ	0x24	0x0	both
IGG0CLB0	0x24		anchor
IGG0CLB1	0x24	0x12	both
IGG0CLB5	0x24	0x12	both
IGG0CLB6	0x24		anchor
IGG0CLB7	0x24	0x20	both
IGG0CLB8	0x24		anchor
IGG0CLB9	0x24	0x12	both
IGG0CLBA	0x24		anchor
IGG0CLBB	0x24		anchor
IGG0CLBD	0x78		anchor
IGG0CLBE	0x70		anchor
IGG0CLBG	0x24		anchor
IGG0CLBH	0x24		anchor
IGG0CLBJ	0x24	0xF	both
IGG0CLBK	0x72		anchor
IGG0CLBL	0x82	0xA0	both
IGG0CLBM	0x24		anchor
IGG0CLBN	0x24		anchor
IGG0CLBO	0x24		anchor
IGG0CLBP	0x24	0xF	both
IGG0CLBS	0x24		anchor
IGG0CLBT	0x24		anchor
IGG0CLBU	0x24		anchor
IGG0CLBV	0x24		anchor
IGG0CLBW	0x24		anchor
IGG0CLBY	0x24		anchor
IGG0CLBZ	0x46		anchor
IGG0CLC9	0x2A		anchor
IGG0CLCA	0x4A		anchor
IGG0CLCB	0xB6		anchor
IGG0CLCC	0x28		anchor
IGG0CLCD	0xE0		anchor
IGG0CLCE	0x26		anchor
IGG0CLCF	0x16		anchor
IGG0CLDC	0x24		anchor
IGG0CLDD	0x24		anchor
IGX00013	0xB0	0x48	both
IGX00015	0x6C	0x60	both
IHCGSP02		0x8E	seclocate
IHCGSP03		0x0	seclocate
IHDGSP03		0x0	seclocate
IHEGSP03		0x0	seclocate
IKJ5803D	0x3C		anchor
IKJCB831	0x48		anchor
IKJCT431	0x0		anchor
IKJCT434	0xD4	0x12	both
IKJCT435		0xCD8	seclocate
IKJCT436	0x118		anchor
IKJCT460	0x18		anchor
IKJCT462	0x5E		anchor
IKJCT463	0x1C		anchor
IKJCT464	0x19E		anchor
IKJCT466	0x1C	0x16C	both
IKJCT469	0x1C	0x0	both
IKJCT471	0x1C	0xF	both
IKJCT472	0x1C	0x12	both
IKJCT473	0x1C		anchor
IKJEBEBO	0x78		anchor
IKJEBECI		0x2CC	seclocate
IKJEBEDE		0x14	seclocate
IKJEBEDX		0x11	seclocate
IKJEBEHE		0x14	seclocate
IKJEBEMS		0x14	seclocate
IKJEBETO		0x14	seclocate
IKJEBEVE		0x14	seclocate
IKJEES40	0x6		anchor
IKJEFA10	0x1C	0x1F6	both
IKJEFA12	0x1C	0x1ED	both
IKJEFA13	0x1C	0x92E	both
IKJEFA20	0x1C	0x0	both
IKJEFA23	0x1C	0x0	both
IKJEFA30	0x1C		anchor
IKJEFA51	0x1C	0x38	both
IKJEFA53	0x1C	0xF1	both
IKJEFA55	0x48		anchor
IKJEFD30	0x0	0x0	both
IKJEFD31		0x569	seclocate
IKJEFD32	0x0	0x0	both
IKJEFD33	0x0	0x0	both
IKJEFD34	0x0	0x15	both
IKJEFD35	0x0	0x15	both
IKJEFD36	0x0	0x0	both
IKJEFD37	0x0	0x15	both
IKJEFF00	0x18		anchor
IKJEFF03	0x275	0x275	both
IKJEFF05	0x24		anchor
IKJEFF07	0x1C	0xA2	both
IKJEFF08	0x1C	0x0	both
IKJEFF09	0x1C		anchor
IKJEFF10	0x0		anchor
IKJEFF15	0x1C	0x0	both
IKJEFF19	0x74	0xF	both
IKJEFF20	0x54	0xF	both
IKJEFF49	0x1C	0x4B	both
IKJEFF52	0x1C	0x12	both
IKJEFF53	0x0		anchor
IKJEFF54	0x1C	0x0	both
IKJEFF55	0x14C	0x0	both
IKJEFF57	0x20	0x6F	both
IKJEFLA	0x18	0x12	both
IKJEFLB	0x18		anchor
IKJEFLC	0x18		anchor
IKJEFLE	0x52		anchor
IKJEFLEA	0xE4	0xF	both
IKJEFLF	0xAC	0x12	both
IKJEFLG	0x1C		anchor
IKJEFLGB	0x5C		anchor
IKJEFLGM	0x1C	0x0	both
IKJEFLGN	0x19C	0x1A5	both
IKJEFLH	0x1C	0x162	both
IKJEFLI	0x40		anchor
IKJEFLJ	0x24		anchor
IKJEFLK	0x1E		anchor
IKJEFLL	0x1C		anchor
IKJEFLPA	0x0		anchor
IKJEFLS	0x0		anchor
IKJEFP00	0x194		anchor
IKJEFP03	0x5C		anchor
IKJEFP10	0x5C		anchor
IKJEFP20	0x8E	0xC	both
IKJEFP40	0x0		anchor
IKJEFT01	0x0		anchor
IKJEFT02	0x0		anchor
IKJEFT03	0x20		anchor
IKJEFT04	0x0		anchor
IKJEFT05	0x0		anchor
IKJEFT06	0x22	0x11	both
IKJEFT08	0x0		anchor
IKJEFT25	0x20	0x1A3	both
IKJEFT30	0xA8		anchor
IKJEFT35	0xB4	0x0	both
IKJEFT45	0x1E		anchor
IKJEFT55	0x24		anchor
IKJEFT56	0x0		anchor
IKJEFTE2	0x10		anchor
IKJEFTE8	0x10		anchor
IKJEFXSR	0x1C		anchor
IKJEHCIR	0x1C		anchor
IKJEHDEF	0x7C		anchor
IKJEHMEM	0xEE	0x73	both
IKJNULL	0x56		anchor
IKJRBBCR	0x1C		anchor
IKJRBBMC	0x1C		anchor
IKJRBBMP	0x1E		anchor
IKJRBBU0	0x60		anchor
IKT0009D	0x18	0x14	both
IKT09401	0xA6	0x11	both
IKT09409	0x18	0x1A	both
IKT0940A	0x5A	0xBC	both
IKT0940E	0xAE	0x88	both
IKT0940F	0x52		anchor
IKT09412	0x18		anchor
IKT09413	0x8A	0x79	both
IKT3270I	0x0		anchor
IKT3270O	0x0		anchor
IKT93EST	0x18	0x82	both
IKTASTPT	0x138	0x106	both
IKTATTN	0xA2	0xF	both
IKTAY8	0x42	0x292	both
IKTCAS00	0x1C	0xA8	both
IKTCAS21	0x1C	0x0	both
IKTCAS22	0x1C	0x12	both
IKTCAS23	0x18		anchor
IKTCAS24	0x44	0x12	both
IKTCAS31	0x1C		anchor
IKTCAS32	0x1C		anchor
IKTCAS52	0x1C	0xC8	both
IKTCAS53	0x20	0x3C	both
IKTCAS54	0xBA	0x9B3	both
IKTCAS55	0xE6	0x49	both
IKTCAS56	0x58		anchor
IKTCASCX	0x18		anchor
IKTCASOX	0x18		anchor
IKTEXIT	0x82		anchor
IKTIIOM	0xDE	0x10	both
