module	anchor	seclocate	source
IEAVTAS3	0x276	0xF	both
IEAVTFMT	0x54	0xF	both
IEAVTFRD	0x0	0xD	both
IEAVTFRT	0x0		anchor
IEAVTFSD	0x0	0xD	both
IEAVTGLB	0x0	0x0	both
IEAVTJBN	0x0	0xE	both
IEAVTLCL	0x0	0x0	both
IEAVTMRM	0x1C		anchor
IEAVTMSI	0x6	0x2C	both
IEAVTMTC	0x0		anchor
IEAVTMTR	0x24	0x24	both
IEAVTRET	0x0	0xE	both
IEAVTRT2	0x18	0x5	both
IEAVTRTC	0x1C4	0xF	both
IEAVTRTE	0x260	0x260	both
IEAVTRTH		0x3C8	seclocate
IEAVTSDC	0x1A		anchor
IEAVTSDF	0x18	0x10	both
IEAVTSDG	0x18		anchor
IEAVTSDH	0x0		anchor
IEAVTSDO	0x1A		anchor
IEAVTSDR	0x2D0		anchor
IEAVTSDT	0x18		anchor
IEAVTSDW	0x86		anchor
IEAVTSKT	0x8C		anchor
IEAVTSLR	0x11A		anchor
IEAVTSSD	0x0		anchor
IEAVTSSE	0x0	0xE	both
IEAVVINT	0x24	0x17	both
IEAVVRP1	0x0		anchor
IEAVVRP2	0xFE	0xC	both
IEAVVWTO	0x2A		anchor
IEAVXDOM	0x2C		anchor
IEAXPALL	0x56	0x114	both
IEBASCAN		0x0	seclocate
IEBCCS02	0x104	0x39A	both
IEBCRANL	0xE		anchor
IEBCREAT	0xE	0x32	both
IEBDG	0x42		anchor
IEBDGCUP	0xE	0xA4	both
IEBDISKT	0x64		anchor
IEBEDIT	0x3A	0x0	both
IEBEDIT2	0x0		anchor
IEBGEN03	0x0		anchor
IEBGENR3	0x0		anchor
IEBGENS3	0x84	0x500	both
IEBGSCAN	0x0		anchor
IEBIMAGE	0x0		anchor
IEBIMSGS	0x0		anchor
IEBISC		0x0	seclocate
IEBISCAN	0x0		anchor
IEBISF		0x19C	seclocate
IEBISL		0x0	seclocate
IEBISSI	0x1C	0x0	both
IEBISSO		0x0	seclocate
IEBISU		0x0	seclocate
IEBPPAL1	0x24		anchor
IEBPPCH1	0x56	0xD	both
IEBUPDTE		0x0	seclocate
IECDAFMT	0x0		anchor
IECDAFT1	0x0		anchor
IECIOFMT	0x1C		anchor
IECIOFT1	0x2A		anchor
IECLMSGC	0x0	0xD	both
IECLMSGD	0x0	0xD	both
IECLMSGG	0x0		anchor
IECLMSGM	0x0		anchor
IECLMSGT	0x0		anchor
IECLMSGU	0x0		anchor
IECQBFG1	0x12		anchor
IECTLOPN	0x172	0x12	both
IECVCINT	0x18		anchor
IECVCRHH	0x14	0x9	both
IECVDDT1		0x6C	seclocate
IECVHDET		0x3C	seclocate
IECVHIDT		0x8	seclocate
IECVHREC	0x7C	0x70	both
IECVIOPM	0x0	0xD	both
IECVSMGR	0x1C	0x1D	both
IECVXSKN		0x4C	seclocate
IECVXTPT		0x11	seclocate
IECVXVRT		0x0	seclocate
IEDAY1	0x4E	0x6ED	both
IEDAY8	0x12	0x10	both
IEDAY88	0x148	0x148	both
IEDAYAA	0x20C	0x203	both
IEDAYD		0x14	seclocate
IEDAYGP	0x11A	0x11A	both
IEDAYHH	0xA	0x8	both
IEDAYII	0x11A	0x116	both
IEDAYL		0x1A	seclocate
IEDAYLL		0x2BC	seclocate
IEDAYOO	0x12E		anchor
IEDAYQT	0x58	0x4F	both
IEDBITN	0x279	0x252	both
IEDDFOUT		0xA8	seclocate
IEDIAB		0x10	seclocate
IEDLUS		0x1A	seclocate
IEDNGD		0x400	seclocate
IEDNKA		0x2D	seclocate
IEDNLT		0x24	seclocate
IEDNTR		0x64	seclocate
IEDOPTN		0x11	seclocate
IEDQA5		0x0	seclocate
IEDQA6		0x0	seclocate
IEDQAG		0x2C	seclocate
IEDQAJ		0x0	seclocate
IEDQBA	0x1AA	0x19A	both
IEDQBC	0xA4	0x94	both
IEDQBM		0x13F	seclocate
IEDQBT		0x0	seclocate
IEDQCA		0x3C0	seclocate
IEDQEW		0x400	seclocate
IEDQFA1		0x0	seclocate
IEDQFE10		0x114	seclocate
IEDQFE30		0x12	seclocate
IEDQGQ		0x6	seclocate
IEDQGT		0x0	seclocate
IEDQHI		0x2C0	seclocate
IEDQHM2		0x0	seclocate
IEDQNG	0xA4	0x9A	both
IEDQNH	0x9E	0x94	both
IEDQNJ		0x149	seclocate
IEDQNO		0xFA	seclocate
IEDQOT01		0x400	seclocate
IEDQW25		0x400	seclocate
IEDQWE		0xD2	seclocate
IEDQWE2		0x400	seclocate
IEDQWIA		0x2B5	seclocate
IEDQWIE		0xFF	seclocate
IEDQWO		0x1E	seclocate
IEDQXC		0x0	seclocate
IEDSAO		0x36	seclocate
IEDSCPDS		0x16	seclocate
IEDSCPRQ		0x0	seclocate
IEDXFMI		0xFC	seclocate
IEE0003D	0xEC		anchor
IEE0303D	0x90	0x0	both
IEE0403D	0x162	0xE	both
IEE0503D	0x436		anchor
IEE0703D	0xC4	0xE	both
IEE0803D	0x70	0xE	both
IEE10110	0x0		anchor
IEE1603D	0x8E		anchor
IEE20110	0x36		anchor
IEE2303D	0x68		anchor
IEE23110	0x36		anchor
