ACCESS	COBOLMAC
IKJEGSUB	SYM10101
IKJEGSVB	SYM10101
IKJEGSVQ	SYM10101
IKJEGTBL	DISASM
IKJEGTWA	DISASM
IKJEHCOM	SYM20124
IKJOCMTB	SYM10101
IKJPARMA	SYM10101
IKJZT301	SYM10101
IKJZT302	SYM10101
IKJZT303	SYM10101
IKJZT304	SYM10101
IKJZT305	SYM10101
ILRACA	DISASM
ILRACE	DISASM
ILRASMHD	SYM10101
ILRASMVT	SYM10101
ILRASPCT	DISASM
ILRATA	DISASM
ILREPATH	DISASM
ILRIOE	DISASM
ILRIORB	SYM10101
ILRLGE	DISASM
ILRLGVT	DISASM
ILRPART	DISASM
ILRPAT	DISASM
ILRPCCW	DISASM
ILRPCT	DISASM
ILRQSRCD	DISASM
ILRSART	DISASM
ILRSAT	DISASM
ILRSCCW	DISASM
ILRSDCT	DISASM
ILRTPARB	DISASM
INS	SYM10101
IOBLOCKS	ET110201
IOGENER	ET110201
IOSMSSA	SYM10101
IOSTHLD	DISASM
IOSUNHLD	DISASM
IQAAOS	DISASM
IQAAVL	DISASM
IQAAVT	DISASM
IQABUF2A	DISASM
IQACCW	DISASM
IQACVT	DISASM
IQADDT	DISASM
IQADVE	DISASM
IQADVL	DISASM
IQAFMQ	DISASM
IQAID	DISASM
IQAIOTE	DISASM
IQALCA	DISASM
IQAMOD	DISASM
IQAMSGP1	DISASM
IQAOUT	DISASM
IQAPATCH	DISASM
IQAQAL	DISASM
IQAROUT	DISASM
IQARTR	DISASM
IQASCB	DISASM
IQASIB	DISASM
IQASTT	DISASM
IQATIB	DISASM
IQATSS	DISASM
IQAVARC	DISASM
IQAWQL	DISASM
IQAWSB	DISASM
IRACCT	SYM10101
IRADMDT	SYM10101
IRAEPAT	SYM10101
IRAEPDT	SYM10101
IRAEPNMP	SYM10101
IRAEPST	SYM10101
IRAICT	SYM10101
IRAMCT	SYM10101
IRARCT	SYM10101
IRARMCA	SYM10101
IRARMCT	SYM10101
IRARMEP	SYM10101
IRARMEX	SYM10101
IRARMPT	SYM10101
IRARMQH	SYM10101
IRARMSB	SYM10101
IRARQSRV	SYM10101
IRARRPA	SYM10101
IRASRCD	DISASM
IRAWAMT	SYM10101
IRAWMST	SYM10101
IRAWPGDT	SYM10101
IRAWPODT	DISASM
IRBLANGP	SYM20101
IRBSTGST	SYM20101
IRBSTMMV	SYM20101
JCALL	SYM20104
JCHECK	SYM20104
JCOMMON	SYM20104
JCSECT	SYM20104
JENTRY	SYM20104
JERMSGCD	SYM20104
JERRCD	SYM20104
JEXTRN	SYM20104
JFIND	SYM20104
JFLEBLK	SYM20104
JFRECORE	SYM20104
JGEN	SYM20104
JGENERR	SYM20104
JGENIN	SYM20104
JGETCORE	SYM20104
JGETL	SYM20104
JHEAD	SYM20104
JINCOM	SYM20104
JINPUT	SYM20104
JINST	SYM20104
JMODID	SYM20104
JNOTE	SYM20104
JNOTELB	SYM20104
JOUTCOM	SYM20104
JPARM	SYM20104
JPATCH	SYM20104
JPOINT	SYM20104
JPOINTLB	SYM20104
JPRINT	SYM20104
JPUNCH	SYM20104
JPUTL	SYM20104
JPUTM	SYM20104
JREAD	SYM20104
JRETURN	SYM20104
JSAVE	SYM20104
JTEXT	SYM20104
JTMTXT	SYM20104
JTPRINT	SYM20104
JTRUNC	SYM20104
JWRITE	SYM20104
LABEL	SYM20201
LCGASMS2	SYM60101
LCGASMSW	SYM60101
LINEEND	ET110201
MFROUTER	SYM20101
MIEDQFA	ET110201
MIEDQHM	SYM50101
OLTCB	ET110201
OP	SYM20104
OUTBUFM	SYM10101
PCIPOST	SYM10101
PLISAMP	DISASM
PSEUDO	SYM20124
PWRT	SYM10101
PWTO	SYM10101
PWTOR	SYM10101
RECORD	SYM10101
RESPL	ET110201
RESTORE	SYM10101
RMAMAIN	DISASM
RMBMAIN	DISASM
RMCMAIN	DISASM
RPTDSECT	SYM10101
RSYMRCD	SYM20104
RXLFMTS	SYM20104
SCSW	SYM10101
SET	SYM20104
SMCPI	DISASM
SMPPI	DISASM
SNDSCH	ET110201
SRCH	SYM10101
STABUILD	SYM20124
STAEPARM	SYM20124
STAES	SYM20124
STREE	SYM10101
SYNEPS	SYM10101
TACSMD	ET110201
TAIBD	ET110201
TAS	SYM10101
TASC	SYM10101
TASCD	SYM10101
TASCE	SYM10101
TASCT	SYM10101
TAVTD	SYM50101
TBDUD	ET110201
TBLGEN	SYM20104
TCAVTD	TIOCOP01
TCCWD	ET110201
TCD0D	SYM50101
TCD1D	SYM50101
TCKPD	SYM50101
TCOMD	ET110201
TCOMIPLD	SYM50101
TCOMTAB	SYM10101
TCONV	ET110201
TCPBD	SYM50101
TDATAD	ET110201
TDCTD	SYM50101
TDEBAPD	ET110201
TDEBD	ET110201
TDISPD	SYM50101
TDRQD	ET110201
TDVCIDTD	ET110201
THEDD	ET110201
TIOBD	ET110201
TIOSBED	ET110201
TLCBD	SYM50101
TLGBD	SYM50101
TMHTABD	ET110201
TMSKD	ET110201
TNATD	ET110201
TNCPID	SYM50101
TOCTRD	SYM50101
TOPCAVTD	SYM50101
TOPCED	SYM50101
TOPCTL	ET110201
TOPRED	SYM50101
TPCBD	ET110201
TPEBD	ET110201
TPECBD	ET110201
TPEWAD	ET110201
TPIU0D	ET110201
TPLMVD	SYM50101
TPRFD	SYM50101
TPRIOR	SYM50101
TPROCD	ET110201
TPRUD	SYM50101
TQCBD	SYM50101
TQCBED	SYM50101
TRAT	SYM10101
TRECBD	ET110201
TREQD	SYM50101
TRHD	SYM50101
TRVTD	SYM50101
TSATD	ET110201
TSCBD	ET110201
TSIBD	SYM50101
TSNSD	SYM50101
TSOECDD	ET110201
TSTCBD	ET110201
TSTCWORK	SYM10101
TSTMHND	ET110201
TTCBD	ET110201
TTCDSD	ET110201
TTCXD	SYM50101
TTECB	SYM50101
TTHD	SYM50101
TTNTD	SYM50101
TTPD	ET110201
TTRMD	SYM50101
TTSWD	ET110201
TTTCD	ET110201
VMSGGEN	SYM40102
VMSGSKL	SYM40102
VSCRATCH	SYM60101
WICLOSE	SYM60101
WIEXCP	SYM60101
WIJOURN	SYM60101
WINDOW	SYM10101
WORKAREA	SYM60101
WRTRP	SYM10101
X5COM	SYM20104
X5ERRL	SYM20104
XDCDS	SYM20104
XDICT	SYM20104
XEVAL	SYM20104
XFOUR	SYM20104
XSTBL	SYM20104
YREGS	SYM20124
