module	dlib	verdict	sections	diff_bytes	length_differs	diff_in_holes	diff_in_text
BLSRPADS	AOS32	identical	1	0	N	0	0
BLSRRACR	AOS32	differs	1	0	Y	0	0
BLSRRACV	AOS32	differs	1	0	Y	0	0
BLSRSAG	AOS32	identical	1	0	N	0	0
BLSRSAGE	AOS32	identical	1	0	N	0	0
BLSRSAGN	AOS32	differs	1	0	Y	0	0
BLSRSAGQ	AOS32	identical	1	0	N	0	0
BLSRSAGU	AOS32	identical	1	0	N	0	0
BLSRSAPC	AOS32	identical	1	0	N	0	0
BLSRST00	AOS32	identical	2	0	N	0	0
BLSRSURB	AOS32	identical	1	0	N	0	0
BLSRSUTC	AOS32	identical	1	0	N	0	0
BLSRSYRB	AOS32	identical	1	0	N	0	0
BLSRVECT	AOS32	differs	1	0	Y	0	0
BLSRVPAD	AOS32	identical	1	0	N	0	0
BLSRVPAS	AOS32	differs	1	0	Y	0	0
BLSRVPCP	AOS32	differs	1	20	N	16	4
BLSRVPTC	AOS32	identical	1	0	N	0	0
BLSRVPVS	AOS32	identical	1	0	N	0	0
BLSSCOMM	AOS32	differs	1	0	Y	0	0
BLSSCVT2	AOS32	identical	1	0	N	0	0
BLSSPCCA	AOS32	differs	1	994	N	8	986
BLSSPFT	AOS32	differs	1	0	Y	0	0
BLSSPRIV	AOS32	differs	1	0	Y	0	0
BLSSUCB	AOS32	differs	1	0	Y	0	0
BLST01	AOS32	identical	1	0	N	0	0
BLST02	AOS32	identical	1	0	N	0	0
BLST04	AOS32	identical	1	0	N	0	0
BLST04A	AOS32	identical	1	0	N	0	0
BLST04BS	AOS32	identical	1	0	N	0	0
BLST04CV	AOS32	identical	1	0	N	0	0
BLST05	AOS32	identical	1	0	N	0	0
BLST06	AOS32	identical	1	0	N	0	0
BLST08	AOS32	identical	1	0	N	0	0
BLSTB	AOS32	identical	1	0	N	0	0
BLSTB4	AOS32	identical	1	0	N	0	0
BLSTB5	AOS32	identical	1	0	N	0	0
BLSTC	AOS32	identical	1	0	N	0	0
BLSTF	AOS32	identical	1	0	N	0	0
BLSTM	AOS32	identical	1	0	N	0	0
BLSTM4	AOS32	identical	1	0	N	0	0
BLSTM5	AOS32	identical	1	0	N	0	0
BLSTU	AOS32	identical	1	0	N	0	0
BLSTU4	AOS32	identical	1	0	N	0	0
BLSTU5	AOS32	identical	1	0	N	0	0
BLSTY	AOS32	identical	1	0	N	0	0
BLSUALLO	AOS32	identical	1	0	N	0	0
BLSUBLDD	AOS32	identical	1	0	N	0	0
BLSUBLDL	AOS32	identical	1	0	N	0	0
BLSUDYNA	AOS32	identical	1	0	N	0	0
BLSUGWDM	AOS32	identical	1	0	N	0	0
BLSUINI2	AOS32	differs	1	0	Y	0	0
BLSUIT01	AOS32	identical	1	0	N	0	0
BLSUIT02	AOS32	identical	1	0	N	0	0
BLSUIT03	AOS32	identical	1	0	N	0	0
BLSUMON2	AOS32	identical	1	0	N	0	0
BLSUMONC	AOS32	identical	1	0	N	0	0
BLSUMOND	AOS32	identical	1	0	N	0	0
BLSUMONL	AOS32	differs	1	0	Y	0	0
BLSUMONT	AOS32	identical	1	0	N	0	0
BLSUMONX	AOS32	identical	1	0	N	0	0
BLSUMPK1	AOS32	identical	1	0	N	0	0
BLSUMPKN	AOS32	identical	1	0	N	0	0
BLSUMTOD	AOS32	identical	1	0	N	0	0
BLSUPARI	AOS32	identical	1	0	N	0	0
BLSUPARU	AOS32	identical	1	0	N	0	0
BLSUPGMC	AOS32	identical	1	0	N	0	0
BLSUPGMD	AOS32	identical	1	0	N	0	0
BLSUPGML	AOS32	identical	1	0	N	0	0
BLSUPGMR	AOS32	identical	1	0	N	0	0
BLSUPRCL	AOS32	identical	1	0	N	0	0
BLSUPROP	AOS32	identical	1	0	N	0	0
BLSUPRTA	AOS32	identical	1	0	N	0	0
BLSUPRTN	AOS32	identical	1	0	N	0	0
BLSUPRTT	AOS32	identical	1	0	N	0	0
BLSUPUTA	AOS32	identical	1	0	N	0	0
BLSUPUTN	AOS32	identical	1	0	N	0	0
BLSUPUTT	AOS32	identical	1	0	N	0	0
BLSUPUTV	AOS32	identical	1	0	N	0	0
BLSUSTAI	AOS32	identical	1	0	N	0	0
BLSUTRMA	AOS32	identical	1	0	N	0	0
BLSUTRMN	AOS32	identical	1	0	N	0	0
BLSUTSO	AOS32	differs	1	0	Y	0	0
BLSUVP21	AOS32	identical	1	0	N	0	0
BLSUVP31	AOS32	differs	1	4	N	0	4
BLSUVP32	AOS32	identical	1	0	N	0	0
BLSUVP99	AOS32	identical	1	0	N	0	0
BLSUVPVA	AOS32	identical	1	0	N	0	0
BLSUVSCL	AOS32	identical	1	0	N	0	0
BLSUVSCR	AOS32	differs	1	116	N	0	116
BLSUVSEN	AOS32	identical	1	0	N	0	0
BLSUVSER	AOS32	identical	1	0	N	0	0
BLSUVSGE	AOS32	identical	1	0	N	0	0
BLSUVSGU	AOS32	identical	1	0	N	0	0
BLSUVSMR	AOS32	differs	1	116	N	0	116
BLSUVSOP	AOS32	identical	1	0	N	0	0
BLSUVSOQ	AOS32	differs	1	287	N	0	287
BLSUVSPO	AOS32	identical	1	0	N	0	0
BLSUVSPU	AOS32	identical	1	0	N	0	0
BLSUZZ2C	AOS32	identical	1	0	N	0	0
BLSUZZ2D	AOS32	identical	1	0	N	0	0
BLSUZZ2R	AOS32	identical	1	0	N	0	0
BLSVASCB	AOS32	identical	1	0	N	0	0
BLSVASVT	AOS32	identical	1	0	N	0	0
BLSVASXB	AOS32	identical	1	0	N	0	0
BLSVCDE	AOS32	identical	1	0	N	0	0
BLSVCVT2	AOS32	identical	1	0	N	0	0
BLSVIOC	AOS32	identical	1	0	N	0	0
BLSVIOX	AOS32	identical	1	0	N	0	0
BLSVLCCV	AOS32	identical	1	0	N	0	0
BLSVLPDE	AOS32	identical	1	0	N	0	0
BLSVPCCV	AOS32	identical	1	0	N	0	0
BLSVPGTE	AOS32	differs	1	0	Y	0	0
BLSVQCBA	AOS32	identical	1	0	N	0	0
BLSVQCBB	AOS32	identical	1	0	N	0	0
BLSVQEL	AOS32	identical	1	0	N	0	0
BLSVRB	AOS32	identical	1	0	N	0	0
BLSVSGTE	AOS32	differs	1	571	N	7	564
BLSVUCB	AOS32	identical	1	0	N	0	0
BLSVXTLS	AOS32	identical	1	0	N	0	0
BNGILOCL	AOS29	differs	2	0	Y	0	0
BNGIMENU	AOS29	differs	1	0	Y	0	0
BNGIPCBX	AOS29	differs	1	0	Y	0	0
BNGIREAD	AOS29	differs	1	0	Y	0	0
BNGIRMOT	AOS29	differs	2	0	Y	0	0
BNGISIMS	AOS29	differs	1	0	Y	0	0
BNGTLOCL	AOS29	differs	1	2	N	0	2
BNGTMENU	AOS29	differs	1	2	N	0	2
BNGTQEMA	AOS29	differs	1	0	Y	0	0
BNGTQEMF	AOS29	differs	1	83	N	81	2
BNGTRMOT	AOS29	differs	1	2	N	0	2
ESRTABLE	AOSC5	differs	1	13	N	0	13
FCB3STD3	AOSD0	identical	1	0	N	0	0
GENRMT	AOSH1	identical	1	0	N	0	0
GRAF	AOSD0	identical	1	0	N	0	0
HEWLDIDY	AOS05	identical	2	0	N	0	0
HEWLDLIB	AOS05	differs	1	0	Y	0	0
HEWLDREL	AOS05	identical	1	0	N	0	0
HEWLFADA	AOS04	differs	1	0	Y	0	0
HEWLFAPT	AOS04	differs	1	0	Y	0	0
HEWLFEND	AOS04	differs	1	0	Y	0	0
HEWLFENS	AOS04	differs	1	0	Y	0	0
