module	dlib	verdict	sections	diff_bytes	length_differs	diff_in_holes	diff_in_text
BLSFVRFY	AOS32	identical	1	0	N	0	0
BLSR3270	AOS32	differs	3	4	Y	0	4
BLSRACC	AOS32	identical	1	0	N	0	0
BLSRACCL	AOS32	identical	1	0	N	0	0
BLSRACCQ	AOS32	identical	1	0	N	0	0
BLSRADD1	AOS32	differs	1	23	N	0	23
BLSRADD2	AOS32	identical	1	0	N	0	0
BLSRADD3	AOS32	identical	1	0	N	0	0
BLSRADD4	AOS32	holes	1	6	N	6	0
BLSRADDP	AOS32	identical	1	0	N	0	0
BLSRADDR	AOS32	identical	1	0	N	0	0
BLSRADDS	AOS32	identical	1	0	N	0	0
BLSRADDT	AOS32	identical	1	0	N	0	0
BLSRADDU	AOS32	identical	1	0	N	0	0
BLSRASCX	AOS32	identical	2	0	N	0	0
BLSRASM7	AOS32	identical	2	0	N	0	0
BLSRCOCL	AOS32	identical	1	0	N	0	0
BLSRCOHD	AOS32	identical	1	0	N	0	0
BLSRCOIN	AOS32	identical	1	0	N	0	0
BLSRCOMK	AOS32	differs	2	7	N	0	7
BLSRCOMP	AOS32	identical	2	0	N	0	0
BLSRCOPY	AOS32	identical	2	0	N	0	0
BLSRCOTA	AOS32	identical	1	0	N	0	0
BLSRDUAL	AOS32	differs	1	9	N	0	9
BLSRDUCC	AOS32	identical	1	0	N	0	0
BLSRDUCK	AOS32	identical	1	0	N	0	0
BLSRDUCL	AOS32	identical	1	0	N	0	0
BLSRDUDE	AOS32	differs	2	4	N	0	4
BLSRDUDR	AOS32	identical	1	0	N	0	0
BLSRDUIC	AOS32	differs	1	1	N	0	1
BLSRDUIH	AOS32	differs	1	9	N	1	8
BLSRDUIN	AOS32	differs	1	10	N	0	10
BLSRDUIS	AOS32	identical	1	0	N	0	0
BLSRDULS	AOS32	identical	2	0	N	0	0
BLSRDUOP	AOS32	differs	1	11	N	0	11
BLSRDUSC	AOS32	differs	2	0	Y	0	0
BLSRENQK	AOS32	identical	2	0	N	0	0
BLSREQU	AOS32	identical	2	0	N	0	0
BLSRESAR	AOS32	identical	1	0	N	0	0
BLSRESCK	AOS32	differs	1	6	N	0	6
BLSRESDR	AOS32	identical	2	0	N	0	0
BLSRESGC	AOS32	identical	1	0	N	0	0
BLSRESGE	AOS32	holes	1	3	N	3	0
BLSRESGQ	AOS32	identical	1	0	N	0	0
BLSRESGU	AOS32	identical	1	0	N	0	0
BLSRESPU	AOS32	identical	1	0	N	0	0
BLSRESRU	AOS32	identical	1	0	N	0	0
BLSRESSA	AOS32	identical	1	0	N	0	0
BLSREVAL	AOS32	identical	2	0	N	0	0
