ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   22
   651  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   651  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   652  IFO197      *** MNOTE ***
   652  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   655  IFO078      UNDEFINED OP CODE
   665  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   666  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   667  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   668  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   669  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   669  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   670  IFO197      *** MNOTE ***
   670  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   673  IFO078      UNDEFINED OP CODE
   681  IFO078      UNDEFINED OP CODE
   682  IFO078      UNDEFINED OP CODE
   683  IFO078      UNDEFINED OP CODE
   684  IFO078      UNDEFINED OP CODE
   685  IFO078      UNDEFINED OP CODE
   686  IFO078      UNDEFINED OP CODE
   687  IFO078      UNDEFINED OP CODE
   693  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   694  IFO197      *** MNOTE ***
   697  IFO078      UNDEFINED OP CODE
   707  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   708  IFO197      *** MNOTE ***
   714  IFO078      UNDEFINED OP CODE
0NUMBER OF STATEMENTS FLAGGED IN THIS ASSEMBLY =   121
 HIGHEST SEVERITY WAS   12
 OPTIONS FOR THIS ASSEMBLY
   ALIGN, ALOGIC, BUFSIZE(STD), NODECK, ESD, FLAG(0), LINECOUNT(55), LIST, NOMCALL, YFLAG, WORKSIZE(2097152)
   NOMLOGIC, NONUMBER, NOOBJECT, NORENT, RLD, NOSTMT, NOLIBMAC, NOTERMINAL, NOTEST, XREF(SHORT)
   SYSPARM()
 WORK FILE BUFFER SIZE/NUMBER =19066/ 1
 TOTAL RECORDS READ FROM SYSTEM INPUT        206
 TOTAL RECORDS READ FROM SYSTEM LIBRARY     1178
 TOTAL RECORDS PUNCHED                         0
 TOTAL RECORDS PRINTED                      1189
