ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   44
   690  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   693  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   694  IFO197      *** MNOTE ***
   698  IFO078      UNDEFINED OP CODE
   709  IFO078      UNDEFINED OP CODE
   711  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 13
   712  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 21
   714  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 14
   715  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 21
   718  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   721  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   722  IFO197      *** MNOTE ***
   726  IFO078      UNDEFINED OP CODE
   736  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   739  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   740  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   741  IFO197      *** MNOTE ***
   745  IFO078      UNDEFINED OP CODE
   754  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 12
   755  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 23
   756  IFO078      UNDEFINED OP CODE
   759  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   762  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   763  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   764  IFO197      *** MNOTE ***
   768  IFO078      UNDEFINED OP CODE
   775  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   778  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   779  IFO197      *** MNOTE ***
   783  IFO078      UNDEFINED OP CODE
   794  IFO078      UNDEFINED OP CODE
   797  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   800  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   801  IFO197      *** MNOTE ***
   805  IFO078      UNDEFINED OP CODE
   814  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 15
   815  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 23
   818  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   821  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   822  IFO197      *** MNOTE ***
   826  IFO078      UNDEFINED OP CODE
   836  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   839  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   840  IFO197      *** MNOTE ***
   844  IFO078      UNDEFINED OP CODE
   854  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   857  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   858  IFO197      *** MNOTE ***
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   48
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 13.31 09/09/26
0  862  IFO078      UNDEFINED OP CODE
   873  IFO078      UNDEFINED OP CODE
   876  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   879  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   880  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   881  IFO197      *** MNOTE ***
   885  IFO078      UNDEFINED OP CODE
   890  IFO078      UNDEFINED OP CODE
   893  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   896  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   897  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   898  IFO197      *** MNOTE ***
   902  IFO078      UNDEFINED OP CODE
   904  IFO078      UNDEFINED OP CODE
   907  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   910  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   911  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   912  IFO197      *** MNOTE ***
   916  IFO078      UNDEFINED OP CODE
   921  IFO078      UNDEFINED OP CODE
   924  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   927  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   928  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   929  IFO197      *** MNOTE ***
   933  IFO078      UNDEFINED OP CODE
   943  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   946  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   947  IFO197      *** MNOTE ***
   951  IFO078      UNDEFINED OP CODE
   956  IFO078      UNDEFINED OP CODE
   959  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   962  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   963  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   964  IFO197      *** MNOTE ***
   968  IFO078      UNDEFINED OP CODE
   975  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   978  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   979  IFO197      *** MNOTE ***
   983  IFO078      UNDEFINED OP CODE
   994  IFO078      UNDEFINED OP CODE
   997  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1000  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1001  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
  1002  IFO197      *** MNOTE ***
  1006  IFO078      UNDEFINED OP CODE
  1011  IFO078      UNDEFINED OP CODE
  1014  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1017  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1018  IFO197      *** MNOTE ***
  1022  IFO078      UNDEFINED OP CODE
  1029  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1032  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1033  IFO197      *** MNOTE ***
  1037  IFO078      UNDEFINED OP CODE
  1048  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   49
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 13.31 09/09/26
0 1051  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1054  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1055  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
  1056  IFO197      *** MNOTE ***
  1060  IFO078      UNDEFINED OP CODE
  1065  IFO078      UNDEFINED OP CODE
  1068  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1071  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1072  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
  1073  IFO197      *** MNOTE ***
  1077  IFO078      UNDEFINED OP CODE
  1084  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1087  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1088  IFO197      *** MNOTE ***
  1092  IFO078      UNDEFINED OP CODE
  1103  IFO078      UNDEFINED OP CODE
  1106  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1109  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1110  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
  1111  IFO197      *** MNOTE ***
  1115  IFO078      UNDEFINED OP CODE
  1120  IFO078      UNDEFINED OP CODE
  1123  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1126  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1127  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
  1128  IFO197      *** MNOTE ***
  1132  IFO078      UNDEFINED OP CODE
  1134  IFO078      UNDEFINED OP CODE
  1137  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1140  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1141  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
  1142  IFO197      *** MNOTE ***
  1146  IFO078      UNDEFINED OP CODE
  1151  IFO078      UNDEFINED OP CODE
  1154  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1157  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1158  IFO197      *** MNOTE ***
  1162  IFO078      UNDEFINED OP CODE
  1173  IFO078      UNDEFINED OP CODE
  1176  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1179  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1180  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
  1181  IFO197      *** MNOTE ***
  1185  IFO078      UNDEFINED OP CODE
  1192  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
  1195  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
  1196  IFO197      *** MNOTE ***
  1200  IFO078      UNDEFINED OP CODE
  1212  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 15
  1213  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 24
