module	kreiss_verdict	ibm_verdict
IEAVTFRT	length	length
IEAVTFSD	length	length
IEAVTMRM	length	length
IEAVTMSI	length	length
IEAVTMTC	length	length
IEAVTPMT	mixed	mixed
IEAVTRT2	length	length
IEAVTRTC	length	length
IEAVTRTE	length	length
IEAVTRTH	length	length
IEAVTRTS	text	length
IEAVTSBP	text	length
IEAVTSDF	length	length
IEAVTSDO	length	length
IEAVTSDW	length	length
IEAVTSKT	length	length
IEAVTSSD	length	length
IEAVTSSE	length	length
IEAVVRP1	length	length
IEAVVRP2	length	length
IEBCREAT	length	length
IEBDG	length	length
IEBDGCUP	length	length
IEBDISKT	length	length
IEBFDANL	text	identical
IEBFDTBL	mixed	holes
IEBGEN03	length	length
IEBIMAGE	length	length
IEBIMSGS	length	length
IEBISCAN	length	length
IEBISSI	length	unpaired
IEBUPDTE	length	unpaired
IECDAFT1	length	length
IECIOFT1	length	length
IECTATEN	length	length
IECTCATN	text	unpaired
IECVERPL	text	unpaired
IECVTCCW	text	length
IEDRQIN	mixed	mixed
IEDRSPIN	length	length
IEDSAC	length	length
IEDSAI	length	length
IEDSARI	length	length
IEDSCLU	length	length
IEDSCPDS	length	length
IEDSCPRP	mixed	mixed
IEDSCPRQ	length	length
IEDXFMO	mixed	mixed
IEE0003D	length	length
IEE10110	length	length
IEE6503D	mixed	length
IEE7203D	length	length
IEE7503D	length	length
IEEAB400	length	length
IEEAB401	length	length
IEECB801	text	text
IEECB860	length	length
IEECB866	length	length
IEECB904	length	length
IEECB906	length	length
IEECB908	length	length
IEECB912	length	length
IEECVET3	length	length
IEECVET6	length	length
IEECVET7	text	text
IEECVET8	length	length
IEECVET9	length	length
IEECVFT2	length	length
IEECVFTL	length	length
IEECVFTT	text	text
IEEMB803	length	length
IEEMB805	length	length
IEEMB806	length	length
IEEMB811	length	length
IEEMB813	length	length
IEEMB820	length	length
IEEMB821	length	length
IEEMB823	length	length
IEEMB829	length	length
IEEMB830	length	length
IEEPRWI2	length	length
IEESB605	length	length
IEEVDEV	text	length
IEEVDUS1	mixed	length
IEEVMNT2	length	length
IEEVSEND	length	length
IEEVSND2	length	length
IEEVSND3	length	length
IEEVSND6	length	length
IEEVSTOP	text	length
IEFAB423	length	length
IEFAB424	length	length
IEFAB427	length	length
IEFAB431	length	length
IEFAB432	length	length
IEFAB433	mixed	mixed
IEFAB434	length	length
IEFAB435	length	length
IEFAB441	length	length
IEFAB455	mixed	mixed
IEFAB456	length	length
IEFAB457	length	length
IEFAB459	length	length
IEFAB461	length	length
IEFAB464	length	length
IEFAB470	mixed	mixed
IEFAB471	length	length
IEFAB472	length	length
IEFAB474	mixed	mixed
IEFAB477	length	length
IEFAB485	length	length
IEFAB486	length	length
IEFAB487	length	length
IEFAB48A	length	length
IEFAB490	length	length
IEFAB491	length	length
IEFAB492	length	length
IEFAB494	length	length
IEFAB496	length	length
IEFAB498	mixed	mixed
IEFAB49A	length	length
IEFAB49B	length	length
IEFAB4A2	length	length
IEFAB4A4	length	length
IEFAB4A6	length	length
IEFAB4A8	length	length
IEFAB4DC	length	length
IEFAB4DD	length	length
IEFAB4E0	length	length
IEFAB4E2	mixed	mixed
IEFAB4E5	length	length
IEFAB4E8	length	length
IEFAB4EA	mixed	mixed
IEFAB4EC	length	length
IEFAB4ED	length	length
IEFAB4F0	length	length
IEFAB4FA	length	length
IEFAB4FC	length	length
IEFAB4UV	length	length
IEFAB820	text	text
IEFBB402	length	length
IEFBB410	length	length
IEFBB416	length	length
IEFDB402	length	length
IEFDB410	length	length
IEFDB411	length	length
IEFDB412	length	length
IEFDB414	length	length
IEFDB470	length	length
IEFDB4A0	text	text
IEFDB4D0	length	length
IEFDB4F8	length	length
IEFDB4F9	length	length
IEFDPOST	text	holes
IEFIB600	length	length
IEFIB660	length	length
IEFJCNTL	text	text
IEFJSSNT	text	text
IEFJSWT	length	length
IEFNB901	length	length
IEFQB550	length	length
IEFQB555	length	length
IEFSD160	length	length
IEFTB721	length	length
IEFVSCAN	mixed	mixed
IEFXB500	length	length
IEHDCONS	length	mixed
IEHDPRNT	text	length
IEHDRCVR	length	length
IEHMVXSE	length	length
IEHMVXSF	text	length
IEZNCODE	length	length
IFCFILT4	length	length
IFCFRAME	length	length
IFCNFPDR	length	length
IFCSDASD	length	length
IFCSHARE	length	length
IFCSYMCD	text	length
IFDOLT36	length	length
IFDOLT44	length	length
IFDOLT99	length	length
IFFABA	length	text
IFFCAN01	length	length
IFFCAN02	length	length
IFOX0B	text	length
IFOX0E	text	text
IGC0012F	length	length
IGC0102G	length	length
IGC0107H	length	length
IGC0108B	text	length
IGC0112F	length	length
IGC0203E	length	length
