module	ifox_vs_dlib	as370_vs_dlib	cell	first_diff	len_ifox	len_as370	dlib_library
IEE7803D	length	length	neither matches IBM	0x00037	516	508	length
IFDOLT74	holes	mixed	neither matches IBM	0x0002f	490	490	mixed
AMDSATAP	length	length	neither matches IBM	0x00106	466	466	length
IGFPEXIT	identical	text	IFOX00 matches IBM, as370 does not	0x00040	458	458	text
IFCS0135	identical	length	IFOX00 matches IBM, as370 does not	0x0002b	448	424	length
IDCTSTR0	identical	length	IFOX00 matches IBM, as370 does not	0x0000b	437	431	length
IDCTSEC0	identical	length	IFOX00 matches IBM, as370 does not	0x00005	429	383	length
IGG019V2	text	length	neither matches IBM	0x00031	416	408	length
IKJEGSCD	no-pair	no-pair	no distribution member	0x00060	389	97	no-pair
IFDOLT50	holes	mixed	neither matches IBM	0x00035	378	378	mixed
IFDOLT17	mixed	mixed	neither matches IBM	0x000b5	360	360	mixed
IGG0203K	length	length	neither matches IBM	0x00048	336	336	length
IDCTSRV0	identical	length	IFOX00 matches IBM, as370 does not	0x00005	310	282	length
IDCTSSV0	identical	length	IFOX00 matches IBM, as370 does not	0x00005	304	252	length
ISTAPC53	identical	text	IFOX00 matches IBM, as370 does not	0x00018	300	300	text
IGG019M3	identical	length	IFOX00 matches IBM, as370 does not	0x00123	296	419	length
AHLMCIH	identical	text	IFOX00 matches IBM, as370 does not	0x0002e	288	288	text
IGG019M0	identical	length	IFOX00 matches IBM, as370 does not	0x0010b	272	395	length
IGG019MV	identical	length	IFOX00 matches IBM, as370 does not	0x0010d	272	397	length
IGFPMFRS	identical	text	IFOX00 matches IBM, as370 does not	0x000d8	260	260	text
IGFPMRTM	text	text	neither matches IBM	0x0008a	256	256	text
IGG019RA	identical	text	IFOX00 matches IBM, as370 does not	0x00033	250	250	text
IFDOLT43	text	text	neither matches IBM	0x0002d	242	242	text
BLSDSTAE	text	text	neither matches IBM	0x00026	240	240	text
IGG019MD	identical	length	IFOX00 matches IBM, as370 does not	0x000ed	240	365	length
IGG019MJ	identical	length	IFOX00 matches IBM, as370 does not	0x000df	224	351	length
IGG019MK	identical	length	IFOX00 matches IBM, as370 does not	0x000df	224	351	length
IGG019PP	identical	length	IFOX00 matches IBM, as370 does not	0x000dd	224	349	length
IKJEBEBO	no-pair	no-pair	no distribution member	0x00026	224	224	no-pair
IGG019MY	identical	length	IFOX00 matches IBM, as370 does not	0x000d7	216	343	length
IRBMFTCH	no-pair	no-pair	no distribution member	0x00084	216	216	no-pair
IDCTSRL0	identical	length	IFOX00 matches IBM, as370 does not	0x00005	210	176	length
IGG019ME	identical	length	IFOX00 matches IBM, as370 does not	0x000cb	208	331	length
IEFICPUA	holes	mixed	neither matches IBM	0x000a5	201	201	mixed
IGG019MW	identical	length	IFOX00 matches IBM, as370 does not	0x000b9	192	313	length
IDCTSMG0	identical	length	IFOX00 matches IBM, as370 does not	0x00065	179	171	length
IGG019MP	identical	length	IFOX00 matches IBM, as370 does not	0x000a9	176	297	length
IGG019MU	identical	length	IFOX00 matches IBM, as370 does not	0x000ab	176	299	length
IGG019PB	identical	length	IFOX00 matches IBM, as370 does not	0x0009d	160	285	length
IGG019MZ	identical	length	IFOX00 matches IBM, as370 does not	0x00097	152	279	length
IGG019MN	identical	length	IFOX00 matches IBM, as370 does not	0x00089	144	265	length
IGG019PF	identical	length	IFOX00 matches IBM, as370 does not	0x00089	144	265	length
IDCTSMC0	length	length	neither matches IBM	0x0003f	134	118	length
IGG019PE	identical	length	IFOX00 matches IBM, as370 does not	0x0006d	112	237	length
IGG019P7	identical	text	IFOX00 matches IBM, as370 does not	0x00037	102	102	text
IDCTSEV0	identical	length	IFOX00 matches IBM, as370 does not	0x00005	71	63	length
AMDPRPJB	holes	holes	neither matches IBM				holes
AMDPRPMS	holes	holes	neither matches IBM				holes
HMASMDC2	mixed	mixed	neither matches IBM				mixed
IDCRI04	length	length	neither matches IBM	0x00000	0	14023	length
IEAVELCR	identical	identical	both match -- impossible, check the comparison				identical
IEAVTFMT	length	length	neither matches IBM				length
IEAVTRER	text	text	neither matches IBM				text
IEBIOE	length	length	neither matches IBM				length
IECDAFMT	length	length	neither matches IBM				length
IECIOFMT	length	length	neither matches IBM				length
IEDAYOO	length	length	neither matches IBM				length
IEE1403D	length	length	neither matches IBM				length
IEE70110	length	length	neither matches IBM				length
IEFSD087	length	length	neither matches IBM				length
IEHDLABL	length	length	neither matches IBM				length
IEHMVSSF	length	length	neither matches IBM				length
IEHMVSSX	length	length	neither matches IBM				length
IERABW	no-pair	no-pair	no distribution member				no-pair
IERAOL	no-pair	no-pair	no distribution member				no-pair
IERAOM	no-pair	no-pair	no distribution member				no-pair
IFASMFDP	length	length	neither matches IBM				length
IFCEE155	length	length	neither matches IBM				length
IFCERFMT	length	length	neither matches IBM				length
IFG0192A	length	length	neither matches IBM				length
IFG0193D	length	length	neither matches IBM				length
IFG0193E	length	length	neither matches IBM				length
IFG0194A	length	length	neither matches IBM				length
