module	ifox_vs_dlib	as370_vs_dlib	cell	first_diff	len_ifox	len_as370	dlib_library
IGG0201Z	length	length	neither matches IBM				length
IGG08108	length	length	neither matches IBM				length
IKJCT430	length	length	neither matches IBM				length
IKJCT431	length	length	neither matches IBM				length
IKJCT463	length	length	neither matches IBM				length
IKJEBEAA	no-pair	no-pair	no distribution member	0x00000	0	216	no-pair
IKJEFE02	no-pair	no-pair	no distribution member				no-pair
IKJEFF19	length	length	neither matches IBM				length
IKJEGCVT	no-pair	no-pair	no distribution member				no-pair
IKJEGDEB	no-pair	no-pair	no distribution member				no-pair
IKJEGEQU	no-pair	no-pair	no distribution member	0x00000	0	2843	no-pair
IKJEGINT	no-pair	no-pair	no distribution member				no-pair
IKJEGLSA	no-pair	no-pair	no distribution member				no-pair
IKJEGMAP	no-pair	no-pair	no distribution member				no-pair
IKJEGPSW	no-pair	no-pair	no distribution member				no-pair
IKJEGQFY	no-pair	no-pair	no distribution member				no-pair
IKJEGTCB	no-pair	no-pair	no distribution member				no-pair
IKJEGWHR	no-pair	no-pair	no distribution member				no-pair
IKJEHAL1	no-pair	no-pair	no distribution member				no-pair
IKJEHDEF	no-pair	no-pair	no distribution member				no-pair
IKJEHDS1	no-pair	no-pair	no distribution member	0x00000	0	6440	no-pair
IKJEHREN	no-pair	no-pair	no distribution member	0x00000	0	5260	no-pair
IKJRBBU0	length	length	neither matches IBM				length
ISTRAMA3	length	length	neither matches IBM				length
ISTRAMA4	length	length	neither matches IBM				length
SECLOADA	length	length	neither matches IBM				length
