module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal
IDA121A2	8	1	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes	0x01112	5584	5584	text	as370 alone flags
IEAVMDSV	8	1	8	Undefined symbol	0008				bytes	0x00882	2580	2348	length	both flag
IEAVNP02	8	43	8	Undefined operation code | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0012				bytes	0x00182	4356	4356	mixed	both flag
IEAVNP17	8	15	8	Undefined operation code | Undefined symbol	0012				identical				text	both flag
IEAVNPA1	8	46	8	Undefined operation code | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0012				bytes	0x003c8	2536	2536	text	both flag
IEAVNPM2	8	54	8	Undefined operation code | Undefined symbol	0012				identical				mixed	both flag
IEAVPIOP	8	7	8	Undefined operation code | Undefined symbol	0008				identical				mixed	both flag
IEAVRCF	8	3	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0008				cards	0x00035	3136	3168	length	both flag
IEAVSWIN	8	85	8	IFO026 Characters appear between the begin and continue columns on a continuation card | Undefined operation code | Undefined symbol	0008				cards	0x0008b	3532	3564	length	both flag
IEBPPCH1	8	847	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes	0x00026	8228	8228	length	as370 alone flags
IEBVTM	8	11	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				cards				length	both flag
IECIOSAM	8	148	8	Undefined operation code | Undefined symbol	0012				cards	0x00660	14913	15041	length	both flag
IECVDDT1	8	11	8	Undefined operation code | Undefined symbol	0012				identical				length	both flag
IECVHREC	8	37	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				cards	0x00043	8768	8734	length	as370 alone flags
IECVIRST	8	77	8	Undefined operation code | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				bytes	0x00134	4524	4524	text	both flag
IECVMAP	8	5	8	Undefined operation code | Undefined symbol	0012				bytes	0x000b8	426	426	text	both flag
IECVRRSV	8	3	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes				mixed	as370 alone flags
IECVXDAT	8	9	8	Undefined operation code | Undefined symbol	0008				identical				length	both flag
IECVXDRS	8	55	8	Undefined operation code | Undefined symbol	0012				bytes				length	both flag
IECVXDRT	8	11	8	Undefined operation code | Undefined symbol	0012				bytes				length	both flag
IECVXPRE	8	9	8	Undefined operation code | Undefined symbol	0008				identical				length	both flag
IECVXT3S	8	6	8	Undefined operation code	0008				identical				length	both flag
IEDAYD	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
