module	as370_rc	ifox_rc	tool	tool_restamped	dlib
IKTXMTPT	0	0000	cards		length
ILRACT	0	0000	identical		mixed
ILRASM00	0	0008	identical		length
ILRASRIM	8	0012	bytes	bytes	length
ILRCMP	8	0008	bytes	bytes	mixed
ILRCMP01	8	0008	identical		text
ILRFMT00	0	0000	identical		length
ILRFMTCV	0	0000	identical		length
ILRFMTPG	0	0000	identical		length
ILRFMTSW	0	0000	identical		length
ILRFRR01	8	0008	bytes	bytes	text
ILRFRSLT	0	0000	identical		mixed
ILRGOS	8	0008	bytes	bytes	text
ILRGOS01	0	0000	identical		identical
ILRIMMSG	8	0012	identical		text
ILRIOFRR	8	0008	bytes	bytes	mixed
ILRJTERM	0	0000	identical		text
ILRMSG00	8	0008	bytes	bytes	mixed
ILROPS00	8	0012	bytes	bytes	length
ILRPAGCM	8	0008	identical		text
ILRPAGIO	8	0008	identical		length
ILRPEX	0	0000	identical		text
ILRPGEXP	0	0000	cards		length
ILRPOS	8	0008	identical		length
ILRPREAD	0	0000	identical		holes
ILRPTM	8	0008	identical		text
ILRQSRIT	8	0012	identical		text
ILRRLG	0	0000	identical		length
ILRSAV	0	0000	identical		length
ILRSLOTC	0	0000	identical		identical
ILRSRB01	8	0008	identical		text
ILRSRBC	8	0008	identical		text
ILRSRT	8	0008	identical		length
ILRSRT01	8	0008	identical		text
ILRSWAP	8	0008	identical		length
ILRSWP01	8	0008	identical		text
ILRSWPDR	0	0000	identical		text
ILRTERMR	8	0008	identical		text
ILRTMI00	0	0000	cards		length
ILRTMI01	0	0000	identical		length
ILRTMRLG	8	0000	bytes	bytes	mixed
ILRVIOCM	8	0008	identical		text
ILRVSAMI	8	0000	cards		length
IMDUSRFF	0	0000	identical		mixed
IOEDKCLS	0	0000	identical		holes
IOEDKGET	0	0000	identical		holes
IOEDKMSG	0	0000	identical		holes
IOEDKOPN	0	0000	identical		holes
IOEDKPUT	0	0000	identical		identical
IOEDKRDR	0	0000	identical		length
IOEDKWTR	0	0000	bytes	bytes	length
IOEESTAE	0	0000	identical		identical
IOESDKTI	0	0000	identical		holes
IOESDKTO	0	0000	identical		identical
IQADVM00	0	0000	identical		identical
IQARIH00	0	0000	identical		identical
IRARMCNS	0	0000	identical		length
IRARMCPM	8	0008	identical		text
IRARMCPU	0	0000	identical		identical
IRARMCTL	8	0008	bytes	bytes	text
IRARMERR	8	0008	identical		length
IRARMEVT	8	0008	cards		text
IRARMINT	8	0008	identical		text
IRARMIOM	8	0008	identical		mixed
IRARMIPS	8	0008	bytes	bytes	length
IRARMMSG	0	0000	identical		text
IRARMRMR	8	0008	identical		holes
IRARMSET	0	0000	identical		no-pair
IRARMSRV	8	0008	cards		length
IRARMSTM	8	0008	identical		mixed
IRARMWAR	0	0000	identical		no-pair
IRARMWLM	8	0008	identical		text
IRBMFALL	0	0000	identical		holes
IRBMFANL	0	0000	identical		identical
IRBMFCNV	0	0000	identical		holes
IRBMFDCP	0	0000	bytes	bytes	mixed
IRBMFDDP	0	0000	identical		holes
IRBMFDEA	0	0000	bytes	bytes	mixed
IRBMFDHP	0	0000	identical		holes
IRBMFDPP	0	0000	identical		holes
IRBMFDSP	0	0000	identical		text
IRBMFDTA	0	0000	identical		length
IRBMFDTP	0	0000	identical		identical
IRBMFDWP	0	0000	bytes	bytes	length
IRBMFECH	0	0000	bytes	bytes	no-pair
IRBMFEDV	0	0000	identical		no-pair
IRBMFEVT	0	0000	identical		no-pair
IRBMFFUR	0	0000	identical		holes
IRBMFICP	0	0000	identical		holes
IRBMFIDV	0	0000	identical		holes
IRBMFIHA	0	0000	identical		holes
IRBMFINP	0	0000	bytes	bytes	length
IRBMFIOI	0	0000	bytes	bytes	length
IRBMFIPG	0	0000	identical		holes
IRBMFISP	0	0000	identical		text
IRBMFITR	0	0000	identical		text
IRBMFIWK	0	0000	cards		length
IRBMFLAV	0	0000	identical		text
IRBMFLCV	0	0000	identical		holes
IRBMFLDV	0	0000	identical		holes
IRBMFLHV	0	0000	identical		holes
IRBMFLMV	0	0000	identical		identical|unpaired
IRBMFLPV	0	0000	bytes	bytes	length
IRBMFLSV	0	0000	identical		text
IRBMFLTV	0	0000	identical		holes
IRBMFLWV	0	0000	identical		holes
IRBMFMFC	0	0000	bytes	bytes	text
IRBMFMLN	0	0000	bytes	bytes	mixed
IRBMFMPR	0	0000	identical		holes
IRBMFRCR	0	0000	identical		holes
IRBMFRDR	0	0000	identical		holes
IRBMFRGM	0	0000	bytes	bytes	length
IRBMFRHR	0	0000	identical		holes
IRBMFRPR	0	0000	identical		holes
IRBMFRSR	0	0000	identical		text
IRBMFRTR	0	0000	identical		text
IRBMFRWR	0	0000	bytes	bytes	mixed
IRBMFSAR	0	0000	identical		length
IRBMFSDE	0	0000	identical		holes
IRBMFTCH	0	0000	bytes	bytes	no-pair
IRBMFTMA	0	0000	cards		length
IRBMFTRM	0	0000	identical		length
IRBMFTTB	0	0000	identical		identical
ISDAAPR0	8	0008	bytes	bytes	length
ISDAAPR1	8	0008	bytes	bytes	length
ISDACNFG	0	0000	bytes	bytes	length
ISDACSB0	8	0008	bytes	bytes	length
ISDACSB1	8	0008	bytes	bytes	length
ISDADAT0	8	0008	bytes	bytes	mixed
ISDADAT1	8	0008	bytes	bytes	length
ISDADCK0	8	0008	bytes	bytes	mixed
ISDADCK1	8	0008	bytes	bytes	length
ISDADCS0	8	0008	bytes	bytes	length
ISDADCS1	8	0008	bytes	bytes	length
ISDADHE0	8	0008	bytes	bytes	text
ISDADHE1	8	0008	bytes	bytes	text
ISDADRC0	8	0008	bytes	bytes	length
ISDADRC1	8	0008	bytes	bytes	length
ISDAEQC0	8	0008	bytes	bytes	length
ISDAEQC1	8	0008	bytes	bytes	mixed
ISDAFSC0	8	0008	bytes	bytes	length
ISDAFSC1	8	0008	bytes	bytes	length
ISDAFSC2	8	0008	bytes	bytes	length
ISDAGEN0	8	0008	bytes	bytes	mixed
ISDAGET0	0	0000	identical		identical
ISDAHEXP	0	0000	identical		length
ISDAHIST	8	0008	bytes	bytes	length
ISDALOG0	8	0008	bytes	bytes	length
ISDAOPT0	0	0000	identical		length
ISDAPAD0	8	0008	bytes	bytes	length
ISDAPAD1	0	0000	bytes	bytes	length
ISDAPARM	0	0000	identical		length
ISDAPRT0	8	0008	bytes	bytes	mixed
ISDAPWR0	0	0000	identical		identical
ISDAPWR1	0	0000	identical		identical
ISDASDA0	0	0000	identical		length
ISDASUM0	8	0008	bytes	bytes	length
ISDASUM1	8	0008	bytes	bytes	length
ISDASUM2	0	0000	identical		length
ISDATYPE	8	0008	bytes	bytes	mixed
ISTAICCK	0	0000	identical		identical
ISTAICIR	0	0000	identical		length
ISTAICPT	0	0000	identical		length
ISTAICTN	0	0000	identical		length
ISTAPC11	0	0000	identical		length
ISTAPC12	0	0000	identical		identical
ISTAPC22	0	0000	identical		text
ISTAPC23	0	0000	identical		length
ISTAPC25	0	0000	identical		text
ISTAPC31	0	0000	identical		length
ISTAPC32	0	0000	identical		length
ISTAPC33	0	0000	identical		identical
ISTAPC34	0	0000	identical		identical
ISTAPC35	0	0000	identical		length
ISTAPC36	0	0000	identical		length
ISTAPC37	0	0000	identical		mixed
ISTAPC38	0	0000	identical		mixed
ISTAPC41	0	0000	identical		holes
ISTAPC51	0	0000	identical		length
ISTAPC52	0	0000	identical		length
ISTAPC53	0	0000	bytes	bytes	text
ISTAPC54	0	0000	identical		length
ISTAPC55	0	0000	identical		mixed
ISTAPC56	0	0000	identical		text
