module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal	owner	excluded
ILROPS00	8	15	8	IFO092 keyword parameter PLS is not declared in the macro prototype | Undefined symbol | Undefined operation code	0012	15	12	IFO092 KEYWORD PARAMETER PLS UNDEFINED IN MACRO DEFINITION | IFO188 RPARM IS AN UNDEFINED SYMBOL | IFO226 BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 13 | IFO188 RENTRY IS AN UNDEFINED SYMBOL | IFO188 RNVT IS AN UNDEFINED SYMBOL | IFO226 BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 23	identical				length	both flag	source	
ILRPAGCM	8	178	8	IFO026 Characters appear between the begin and continue columns on a continuation card | Undefined symbol | Undefined operation code	0008	177	8	IFO188 AIANXAIA IS AN UNDEFINED SYMBOL | IFO188 AIA IS AN UNDEFINED SYMBOL | IFO188 AIAFLG1 IS AN UNDEFINED SYMBOL | IFO188 AIALSQA IS AN UNDEFINED SYMBOL | IFO188 AIAFLG2 IS AN UNDEFINED SYMBOL | IFO188 AIATERMR IS AN UNDEFINED SYMBOL	identical				text	both flag	source	
ILRPAGIO	8	45	8	IFO092 keyword parameter PTF is not declared in the macro prototype | IFO092 keyword parameter DATE is not declared in the macro prototype | Undefined symbol | Undefined operation code	0008	45	8	IFO092 KEYWORD PARAMETER DATE UNDEFINED IN MACRO DEFINITION | IFO092 KEYWORD PARAMETER PTF UNDEFINED IN MACRO DEFINITION | IFO188 AIAFLG1 IS AN UNDEFINED SYMBOL | IFO188 AIA IS AN UNDEFINED SYMBOL | IFO188 AIAWRITE IS AN UNDEFINED SYMBOL | IFO188 AIASWPFX IS AN UNDEFINED SYMBOL	identical				length	both flag	source	
ILRPOS	8	43	8	IFO092 keyword parameter PTF is not declared in the macro prototype | IFO092 keyword parameter DATE is not declared in the macro prototype | Undefined symbol | Undefined operation code	0008	43	8	IFO092 KEYWORD PARAMETER DATE UNDEFINED IN MACRO DEFINITION | IFO092 KEYWORD PARAMETER PTF UNDEFINED IN MACRO DEFINITION | IFO188 AIALGID IS AN UNDEFINED SYMBOL | IFO188 AIA IS AN UNDEFINED SYMBOL | IFO188 AIARPN IS AN UNDEFINED SYMBOL | IFO188 AIALPMEP IS AN UNDEFINED SYMBOL	identical				length	both flag	source	
ILRPTM	8	14	8	Undefined symbol | Undefined operation code	0008	14	8	IFO188 AIALSID IS AN UNDEFINED SYMBOL | IFO188 AIA IS AN UNDEFINED SYMBOL | IFO188 AIAFLG2 IS AN UNDEFINED SYMBOL | IFO188 AIASECER IS AN UNDEFINED SYMBOL | IFO188 AIADPXCT IS AN UNDEFINED SYMBOL | IFO188 AIANXAIA IS AN UNDEFINED SYMBOL	identical				text	both flag	source	
ILRQSRIT	8	13	8	IFO092 keyword parameter DATE is not declared in the macro prototype | IFO092 keyword parameter PTF is not declared in the macro prototype | IFO092 keyword parameter PLS is not declared in the macro prototype | Undefined symbol | Undefined operation code	0012	13	12	IFO092 KEYWORD PARAMETER PTF UNDEFINED IN MACRO DEFINITION | IFO092 KEYWORD PARAMETER DATE UNDEFINED IN MACRO DEFINITION | IFO092 KEYWORD PARAMETER PLS UNDEFINED IN MACRO DEFINITION | IFO188 RENTRY IS AN UNDEFINED SYMBOL | IFO188 NVTREAL IS AN UNDEFINED SYMBOL | IFO188 RNVT IS AN UNDEFINED SYMBOL	identical				text	both flag	source	
ILRSRB01	8	12	8	Undefined symbol | Undefined operation code	0008	12	8	IFO188 AIAFLG2 IS AN UNDEFINED SYMBOL | IFO188 AIA IS AN UNDEFINED SYMBOL | IFO188 AIAPRIER IS AN UNDEFINED SYMBOL | IFO188 AIABADID IS AN UNDEFINED SYMBOL | IFO188 AIALPMEP IS AN UNDEFINED SYMBOL | IFO188 AIANXAIA IS AN UNDEFINED SYMBOL	identical				text	both flag	source	
ILRSRBC	8	11	8	Undefined symbol | Undefined operation code	0008	11	8	IFO188 AIAFQPA IS AN UNDEFINED SYMBOL | IFO188 AIA IS AN UNDEFINED SYMBOL | IFO188 AIAFLG3 IS AN UNDEFINED SYMBOL | IFO188 AIAPRINO IS AN UNDEFINED SYMBOL | IFO188 AIALPMEC IS AN UNDEFINED SYMBOL | IFO188 AIALPMEP IS AN UNDEFINED SYMBOL	identical				text	both flag	source	
ILRSRT	8	14	8	Undefined symbol | Undefined operation code	0008	14	8	IFO188 AIASLOT IS AN UNDEFINED SYMBOL | IFO188 AIA IS AN UNDEFINED SYMBOL | IFO188 AIACYL IS AN UNDEFINED SYMBOL | IFO188 AIARCSN IS AN UNDEFINED SYMBOL | IFO188 AIAFLG1 IS AN UNDEFINED SYMBOL | IFO188 AIADUPLX IS AN UNDEFINED SYMBOL	identical				length	both flag	source	
ILRSRT01	8	7	8	Undefined symbol | Undefined operation code	0008	7	8	IFO188 AIAFLG1 IS AN UNDEFINED SYMBOL | IFO188 AIA IS AN UNDEFINED SYMBOL | IFO188 AIAWRITE IS AN UNDEFINED SYMBOL | IFO188 AIADUPLX IS AN UNDEFINED SYMBOL | IFO188 AIAFLG2 IS AN UNDEFINED SYMBOL | IFO188 AIASECER IS AN UNDEFINED SYMBOL	identical				text	both flag	source	
