module	dlib	year
IGFDE0	AOSCE	1978
IGFDS0	AOSCE	1978
IGFDW0	AOSCE	1978
IGFPKREF	AOSCE	1978
IGFPMPFX	AOSCE	1978
IGFPMRTM	AOSCE	1978
IGFPWMSG	AOSCE	1978
IGG01922	AOSD8	1978
IGG01929	AOSD8	1978
IGG0192E	AOSD8	1978
IGG0192G	AOSD8	1978
IGG0192J	AOSD8	1978
IGG0192K	AOSD8	1978
IGG0192L	AOSD8	1978
IGG0192M	AOSD8	1978
IGG0192N	AOSD8	1978
IGG0192O	AOSD8	1978
IGG0192Q	AOSD8	1978
IGG0192T	AOSD8	1978
IGG0192V	AOSD8	1978
IGG0192X	AOSD8	1978
IGG0192Z	AOSD8	1978
IGG01940	AOS21	1978
IGG01948	AOS21	1978
IGG0195D	AOSD8	1978
IGG0195G	AOSD8	1978
IGG0195T	AOSD8	1978
IGG0195U	AOSD8	1978
IGG0196C	AOSD8	1978
IGG0196D	AOSD8	1978
IGG0197C	AOSD0	1978
IGG0198L	AOSD0	1978
IGG019AC	AOSD0	1978
IGG019AE	AOSD0	1978
IGG019AF	AOSD0	1978
IGG019AI	AOSD0	1978
IGG019AK	AOSD0	1978
IGG019AL	AOSD0	1978
IGG019AM	AOSD0	1978
IGG019AV	AOSD0	1978
IGG019AW	AOSD0	1978
IGG019BC	AOSD0	1978
IGG019BD	AOSD0	1978
IGG019BE	AOSD0	1978
IGG019BF	AOSD0	1978
IGG019BG	AOSD0	1978
IGG019BI	AOSD0	1978
IGG019BL	AOSD0	1978
IGG019BP	AOSD0	1978
IGG019CS	AOSD0	1978
IGG019CT	AOSD0	1978
IGG019EK	AOSD0	1978
IGG019FB	AOSD0	1978
IGG019FF	AOSD0	1978
IGG019FJ	AOSD0	1978
IGG019FS	AOSD0	1978
IGG019FT	AOSU0	1978
IGG019HK	AOSD8	1978
IGG019HP	AOSD8	1978
IGG019JI	AOSD8	1978
IGG019JN	AOSD8	1978
IGG019JO	AOSD8	1978
IGG019JP	AOSD8	1978
IGG019JQ	AOSD8	1978
IGG019JR	AOSD8	1978
IGG019JS	AOSD8	1978
IGG019JT	AOSD8	1978
IGG019JU	AOSD8	1978
IGG019JW	AOSD8	1978
IGG019M1	AOS20	1978
IGG019OK	AOSG0	1978
IGG019P8	AOSU0	1978
IGG019R3	AOS21	1978
IGG019RF	AOS21	1978
IGG019RG	AOS21	1978
IGG019RI	AOS21	1978
IGG019RK	AOS21	1978
IGG019RM	AOS21	1978
IGG019T8	AOST3	1978
IGG019V1	AOSD0	1978
IGG019V2	AOSD0	1978
IGG019V3	AOSD0	1978
IGG019V4	AOSD0	1978
IGG02028	AOSD8	1978
IGG0202I	AOSD8	1978
IGG0202J	AOSD8	1978
IGG0202K	AOSD8	1978
IGG0202L	AOSD8	1978
IGG0202M	AOSD8	1978
IGG0202N	AOSD8	1978
IGG02035	AOS21	1978
IGG020FC	AOSD0	1978
IGG0860A	AOSU0	1978
IGG09404	AOST3	1978
IGG0940H	AOST3	1978
IGG0CLAC	AOSA0	1978
IGX00013	AOSC5	1978
IGX00015	AOSC5	1978
IHJARS01	AOSC6	1978
IHJQCP32	AOSC6	1978
IHJQRS20	AOSC6	1978
IHJQRS22	AOSC6	1978
IHJQRS23	AOSC6	1978
IKJ5803D	AOST4	1978
IKJEBEDC	ACMDLIB	1978
IKJEBEDE	ACMDLIB	1978
IKJEBEDX	ACMDLIB	1978
IKJEBEHE	ACMDLIB	1978
IKJEBEMS	ACMDLIB	1978
IKJEBETO	ACMDLIB	1978
IKJEBEVE	ACMDLIB	1978
IKJEES40	ACMDLIB	1978
IKJEES74	AOST4	1978
IKJEES75	AOST4	1978
IKJEFA10	ACMDLIB	1978
IKJEFA12	ACMDLIB	1978
IKJEFA13	ACMDLIB	1978
IKJEFA42	ACMDLIB	1978
IKJEFP03	AOST4	1978
IKJEFP40	AOST4	1978
IKJNULL	AOSB3	1978
IKT0940C	AOST3	1978
IKTCAS21	AOST3	1978
IKTCAS55	AOST3	1978
ILRASM00	AOSC5	1978
ILRFMTPG	AOSC5	1978
ILRFRSLT	AOSC5	1978
ILRJTERM	AOSC5	1978
ILRPEX	AOSC5	1978
ILRSWPDR	AOSC5	1978
ILRTMI00	AOSC5	1978
IRBMFDSP	AOSC5	1978
IRBMFDTA	AOSC5	1978
IRBMFEVT	ALPALIB	1978
IRBMFINP	AOSC5	1978
IRBMFIOI	AOSC5	1978
IRBMFISP	AOSC5	1978
IRBMFITR	AOSC5	1978
IRBMFLAV	AOSC5	1978
IRBMFLMV	AOSC5	1978
IRBMFLSV	AOSC5	1978
IRBMFRSR	AOSC5	1978
IRBMFRTR	AOSC5	1978
IRBMFSAR	AOSC5	1978
IRBMFSDE	AOSC5	1978
IRBMFTRM	AOSC5	1978
ISTAPC35	AOS24	1978
ISTAPC36	AOS24	1978
ISTAPC37	AOS24	1978
ISTAPC38	AOS24	1978
ISTAPC51	AOS24	1978
ISTAPC56	AOS24	1978
ISTAPC57	AOS24	1978
ISTAPC59	AOS24	1978
ISTATM00	AOS26	1978
ISTCFF3D	AOSB3	1978
ISTINC32	AOS26	1978
ISTINCBL	AOS26	1978
ISTINCMD	AOS26	1978
ISTINCMR	AOS26	1978
ISTINCOS	AOS26	1978
ISTINCU6	AOS26	1978
ISTINCV5	AOS26	1978
ISTINCW9	AOS26	1978
ISTNMC9P	AOS24	1978
ISTOCCFD	AOS26	1978
ISTOCCOF	AOS26	1978
ISTOCCSD	AOS26	1978
ISTOCCSL	AOS26	1978
ISTORFBA	AOS24	1978
ISTORFBF	AOS24	1978
ISTORFBQ	AOS24	1978
ISTORFID	AOS24	1978
ISTORFSR	AOS24	1978
ISTRCC51	AOS24	1978
ISTSEC10	AOS24	1978
ISTSEC40	AOS24	1978
ISTSQC0B	AOS26	1978
ISTZDFL0	AOS24	1978
ISTZFMFA	AOS26	1978
